"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj12_Time4",4,12,31,7,13,11,26,24,24,28,19,11,27,36,23,36,34,21,15,26,21,17,28,22,23,19,33,24,7,33,28,50,12,26,29,20,24,11,22,26,26,27,12,17,31,14,12,8,32,31,37,7
"Sbj13_Time1",1,13,9,15,11,23,19,22,21,15,18,16,18,14,21,14,15,16,20,20,17,18,14,12,17,19,12,27,20,16,14,20,22,17,18,21,21,19,12,19,16,18,18,28,16,17,19,18,15,18,23,19
"Sbj13_Time2",2,13,21,14,23,20,19,30,26,23,20,29,18,18,20,31,33,17,21,15,16,20,23,15,28,11,33,14,9,34,14,30,11,30,30,18,9,13,27,22,22,25,14,18,29,25,17,15,29,32,11,12
"Sbj13_Time3",3,13,22,14,20,11,22,27,21,30,24,26,16,19,20,27,35,17,17,18,15,29,28,16,25,12,33,25,17,27,7,30,16,32,24,20,13,11,24,28,27,23,15,29,31,22,19,11,34,30,19,13
"Sbj13_Time4",4,13,25,10,18,8,19,26,22,21,23,28,21,27,18,25,34,27,18,17,10,26,27,12,24,18,32,22,21,37,18,28,10,33,26,22,16,10,20,22,31,28,15,24,30,19,14,15,28,29,17,17
"Sbj14_Time1",1,14,19,19,10,22,14,15,13,18,21,18,17,25,15,18,18,12,15,19,17,15,17,12,18,9,21,16,13,16,24,11,17,19,17,20,24,13,23,15,10,18,19,18,17,11,12,18,13,15,19,23
"Sbj14_Time2",2,14,26,10,12,8,26,26,23,29,14,24,23,37,16,30,32,19,9,14,25,23,35,15,22,18,37,34,13,30,22,35,16,22,41,12,15,18,26,23,26,21,6,20,38,20,10,5,17,24,18,17
"Sbj14_Time3",3,14,25,15,11,9,27,27,27,33,23,18,23,36,11,29,35,17,13,14,29,18,31,19,19,19,36,27,14,36,24,39,12,20,34,11,25,14,27,18,30,22,10,23,34,22,11,11,15,26,19,15
"Sbj14_Time4",4,14,22,19,10,12,26,28,20,32,23,23,24,37,16,29,37,16,7,17,28,26,30,15,26,17,40,29,7,32,30,37,17,17,35,10,22,13,29,27,26,22,12,14,38,15,13,12,20,38,25,14
"Sbj15_Time1",1,15,16,23,24,22,18,28,15,18,14,11,14,22,25,19,19,21,12,16,26,13,18,17,13,16,18,25,18,11,13,14,20,17,22,20,17,26,11,19,18,17,10,20,20,19,18,18,11,10,24,18
"Sbj15_Time2",2,15,29,11,16,14,32,27,30,21,13,16,17,31,20,30,36,13,15,10,15,17,31,22,17,18,38,34,19,26,19,40,11,20,27,11,23,7,21,25,36,22,13,32,46,10,14,11,15,32,28,15
"Sbj15_Time3",3,15,34,15,10,14,34,22,35,17,10,27,24,25,10,36,41,12,20,12,13,16,27,19,7,22,38,28,16,32,13,46,19,29,27,16,23,9,20,28,33,26,8,32,39,15,10,10,15,29,28,12
"Sbj15_Time4",4,15,37,17,14,5,30,19,34,18,18,13,25,20,14,25,38,11,16,14,15,13,29,22,12,13,38,27,22,27,11,44,12,22,26,14,24,11,17,24,36,26,14,28,41,12,12,12,14,31,30,12
"Sbj16_Time1",1,16,19,17,15,15,15,14,15,11,17,25,21,18,17,27,16,12,13,11,22,21,15,18,17,21,16,20,18,8,12,17,19,17,24,17,19,20,20,27,20,16,17,17,23,11,19,20,20,17,17,18
"Sbj16_Time2",2,16,38,20,19,13,21,23,29,18,23,28,23,36,11,25,45,16,14,25,21,17,45,12,41,21,33,17,18,38,22,38,9,29,32,31,13,15,30,25,20,14,15,25,45,15,13,8,32,37,28,11
"Sbj16_Time3",3,16,35,15,17,16,23,28,29,22,24,26,30,39,12,27,41,19,18,24,26,15,43,10,35,22,32,17,12,45,18,44,15,35,34,31,17,12,21,24,28,9,16,23,47,22,13,13,37,36,29,18
"Sbj16_Time4",4,16,38,14,15,14,26,37,32,27,15,26,33,39,14,27,50,18,14,25,16,12,44,13,36,12,36,15,15,42,22,38,14,29,32,25,18,17,30,20,28,6,10,22,43,20,21,13,29,37,36,22
"Sbj17_Time1",1,17,23,18,19,19,23,14,17,19,16,18,13,16,18,18,19,15,21,23,19,20,15,19,17,20,19,22,15,18,22,23,20,16,18,19,22,13,17,12,16,23,20,21,23,13,26,16,18,17,8,22
"Sbj17_Time2",2,17,31,15,7,14,35,24,36,22,25,36,12,39,15,22,37,16,14,13,31,11,32,13,21,19,20,28,15,32,13,33,13,21,21,26,33,22,32,19,35,30,7,34,45,14,10,8,22,49,25,12
"Sbj17_Time3",3,17,29,13,14,12,31,30,36,26,28,34,9,40,19,22,41,13,15,12,22,14,35,13,21,14,18,25,19,35,11,26,18,24,27,30,32,23,31,12,34,29,7,33,35,11,12,9,14,43,32,12
"Sbj17_Time4",4,17,30,8,16,11,31,25,37,25,23,37,13,38,14,17,42,17,15,15,25,15,34,12,17,21,21,15,10,33,12,28,13,18,29,26,34,28,28,16,31,25,13,34,42,16,17,7,18,50,31,12
"Sbj18_Time1",1,18,17,17,17,14,16,19,17,19,23,19,21,19,15,17,20,15,21,26,16,15,25,25,24,17,21,15,19,17,19,13,14,20,17,20,21,18,24,19,13,13,13,13,22,21,24,21,11,15,15,18
"Sbj18_Time2",2,18,33,10,13,14,28,22,22,36,31,13,13,30,33,29,23,30,16,20,22,23,15,29,29,15,22,18,6,43,29,29,15,17,28,35,26,14,19,20,31,29,14,14,27,24,15,16,33,35,25,8
"Sbj18_Time3",3,18,30,13,14,10,24,20,28,29,30,12,13,33,30,27,24,26,13,17,19,31,17,29,34,19,28,14,15,39,30,34,12,15,25,33,27,13,21,19,27,27,9,11,33,15,14,26,34,34,29,12
"Sbj18_Time4",4,18,32,9,14,13,21,16,16,27,32,18,13,34,34,32,18,23,8,14,21,18,16,31,32,18,23,16,11,40,24,36,15,8,23,26,28,13,24,28,28,30,9,17,28,17,18,21,34,30,24,9
"Sbj19_Time1",1,19,22,12,27,21,22,17,18,25,9,20,23,15,8,23,9,15,22,19,16,22,15,11,18,16,16,22,22,14,16,17,15,18,25,25,14,19,12,12,19,14,25,14,13,21,9,20,18,14,14,12
"Sbj19_Time2",2,19,28,12,18,18,24,37,42,20,14,28,22,19,8,31,42,10,17,22,26,13,34,13,29,17,29,24,29,30,12,32,9,25,37,26,15,25,17,11,39,22,15,28,34,24,14,15,25,37,19,17
"Sbj19_Time3",3,19,21,10,19,7,26,37,33,19,13,23,23,23,12,26,44,10,14,27,27,15,35,12,24,14,25,19,22,31,14,38,12,28,36,22,15,20,14,18,34,16,10,37,36,27,11,7,26,42,25,18
"Sbj19_Time4",4,19,24,14,22,13,24,37,41,19,16,23,28,25,16,27,41,10,17,31,19,13,35,12,23,13,29,22,23,29,9,34,14,29,35,25,20,19,20,23,42,25,11,26,34,26,11,9,18,36,21,22
"Sbj2_Time1",1,2,18,23,27,15,9,22,11,27,21,13,15,10,13,14,10,14,12,15,15,10,19,9,15,12,13,14,10,5,8,17,17,21,18,24,13,20,20,12,10,13,18,20,14,21,24,21,15,14,17,14
"Sbj2_Time2",2,2,25,13,13,17,16,35,29,18,17,28,22,33,12,25,39,19,14,21,25,20,28,10,25,22,36,19,17,40,14,40,12,35,38,18,14,20,23,21,24,16,15,24,44,16,14,15,30,41,20,14
"Sbj2_Time3",3,2,30,10,14,8,29,33,27,17,13,28,21,28,10,27,40,17,15,29,24,19,36,10,17,25,38,23,12,47,17,39,13,31,29,19,10,14,28,21,30,20,10,24,39,21,14,12,24,44,23,13
"Sbj2_Time4",4,2,26,11,11,10,23,32,25,25,13,22,17,22,10,26,40,24,19,20,18,25,28,9,27,24,39,18,15,37,15,40,12,33,31,10,15,19,25,24,27,11,18,30,37,24,11,14,24,44,21,17
"Sbj20_Time1",1,20,18,23,8,17,18,22,20,24,13,20,22,17,9,19,14,22,13,14,9,22,15,13,16,20,10,21,21,25,20,15,9,17,18,11,20,19,12,18,20,15,27,11,9,17,18,12,27,20,13,24
"Sbj20_Time2",2,20,27,14,20,12,37,32,34,24,11,31,19,39,10,22,35,20,13,14,35,12,37,16,12,17,30,36,16,40,14,45,16,27,30,13,25,30,25,22,40,29,16,40,47,19,20,12,26,43,29,12
"Sbj20_Time3",3,20,26,15,13,14,42,33,37,25,16,34,23,39,12,24,34,19,18,12,29,13,43,18,15,19,33,34,17,32,17,42,10,22,30,10,27,25,22,15,38,29,13,33,44,18,14,16,21,48,27,16
"Sbj20_Time4",4,20,24,13,15,18,39,41,36,27,12,33,18,43,13,28,37,21,14,17,25,15,39,21,15,17,34,41,22,41,9,42,10,22,33,15,24,22,30,22,32,32,15,35,47,19,17,13,26,49,31,16
"Sbj21_Time1",1,21,19,13,11,18,11,11,15,23,23,10,19,24,12,18,16,20,10,19,17,19,15,16,12,18,21,24,17,19,21,24,21,14,16,22,16,22,26,24,23,20,15,13,22,19,22,16,15,15,20,19
"Sbj21_Time2",2,21,37,13,16,16,38,26,30,26,14,27,28,35,11,25,41,22,11,24,22,16,36,10,21,12,26,26,19,34,8,38,17,28,37,24,25,7,24,31,34,25,9,30,34,31,16,10,26,44,35,10
"Sbj21_Time3",3,21,39,18,13,8,31,29,32,25,18,28,28,37,12,28,33,15,15,14,26,25,42,12,20,13,37,29,24,34,9,37,17,23,32,30,22,10,27,29,26,28,21,34,39,25,13,10,20,48,27,14
"Sbj21_Time4",4,21,35,12,12,14,30,31,34,33,20,31,28,38,16,28,35,19,12,18,15,16,45,7,16,15,36,26,22,32,10,37,11,21,31,23,23,16,25,29,31,30,15,29,38,24,10,10,21,45,37,12
"Sbj22_Time1",1,22,17,12,23,16,24,15,19,15,16,15,12,20,17,16,14,18,16,18,13,10,11,10,19,19,17,18,17,26,20,19,21,13,17,13,13,21,15,14,14,21,16,16,18,18,18,16,15,18,11,11
"Sbj22_Time2",2,22,30,10,15,13,26,27,37,29,29,28,27,31,16,23,34,16,16,23,15,23,38,11,34,31,31,11,8,40,21,37,19,31,38,30,25,24,15,13,33,25,11,25,47,26,16,7,18,43,26,15
"Sbj22_Time3",3,22,34,13,6,9,21,31,40,26,32,22,22,31,7,26,35,21,20,13,19,26,34,14,30,27,29,11,19,41,12,39,10,27,36,29,28,13,15,17,34,25,16,26,45,28,15,15,21,38,22,13
"Sbj22_Time4",4,22,37,13,15,10,23,21,47,27,32,27,29,33,14,18,36,20,22,23,15,22,30,16,27,29,28,13,14,40,18,31,18,32,33,27,16,19,18,14,31,30,15,29,45,24,7,13,24,38,24,21
"Sbj23_Time1",1,23,13,20,14,22,20,16,14,17,10,12,8,25,25,10,20,20,19,22,20,19,14,23,22,18,11,9,17,12,19,13,9,17,8,9,23,11,13,19,17,21,19,18,19,21,17,18,20,13,16,17
"Sbj23_Time2",2,23,37,8,12,16,23,34,46,8,17,15,24,43,7,21,41,15,12,19,23,13,42,31,22,14,29,36,15,40,19,50,10,13,31,23,32,14,26,24,27,27,20,31,57,12,9,9,29,45,47,25
"Sbj23_Time3",3,23,38,21,15,11,19,37,39,14,21,8,21,50,11,28,44,17,13,17,26,25,42,29,19,14,32,38,13,39,16,55,13,13,34,19,34,17,25,17,22,21,9,31,56,15,13,14,29,39,44,26
"Sbj23_Time4",4,23,29,16,14,8,28,33,42,12,24,9,17,48,13,23,44,18,13,14,26,17,43,22,17,20,30,36,16,41,19,49,8,14,33,17,30,15,24,22,28,25,10,38,58,14,16,13,29,42,45,18
"Sbj24_Time1",1,24,18,14,26,14,19,16,18,14,15,18,18,21,18,14,19,8,22,13,18,19,13,15,18,16,20,11,22,21,18,18,20,14,18,21,27,11,20,20,13,25,19,12,25,10,12,19,19,17,20,17
"Sbj24_Time2",2,24,36,14,11,16,18,30,39,23,26,9,25,40,12,32,34,18,16,29,17,14,30,13,24,21,27,23,11,40,13,43,8,19,35,22,23,19,12,19,15,17,15,27,45,9,19,8,22,41,29,15
"Sbj24_Time3",3,24,35,13,8,17,10,24,37,15,29,12,27,36,11,31,36,10,12,28,14,14,29,10,25,21,32,23,18,40,14,48,11,17,33,23,18,19,21,21,16,17,15,26,42,14,19,11,18,40,29,13
"Sbj24_Time4",4,24,30,14,20,10,9,28,30,21,23,6,28,37,14,30,42,14,12,30,13,19,31,10,25,17,30,27,20,44,15,39,9,19,41,25,23,19,18,19,21,21,10,27,47,11,8,17,23,30,28,18
"Sbj25_Time1",1,25,27,15,10,19,17,15,19,28,9,21,23,10,17,20,18,23,18,19,11,21,23,15,14,16,14,21,21,22,19,15,20,20,14,13,24,15,19,14,20,10,17,19,16,21,21,26,15,16,24,27
"Sbj25_Time2",2,25,32,14,17,16,29,28,38,22,13,16,18,30,14,21,40,16,16,15,25,21,38,22,14,12,33,27,24,27,15,46,10,13,28,13,29,12,22,17,25,27,14,30,47,20,15,15,15,35,31,13
"Sbj25_Time3",3,25,28,12,13,6,35,30,37,28,14,19,25,34,17,23,34,13,12,16,28,14,48,22,14,13,28,30,28,29,21,49,14,21,23,11,21,22,23,20,20,23,14,31,46,15,13,12,20,32,32,19
"Sbj25_Time4",4,25,36,9,5,9,26,26,35,23,13,11,25,34,15,21,39,12,7,17,25,16,47,18,19,10,31,31,20,32,18,48,13,16,30,11,31,16,25,19,20,21,15,30,42,22,18,17,19,24,32,20
"Sbj26_Time1",1,26,27,12,14,16,19,19,13,22,17,15,17,16,20,24,15,20,23,21,25,14,15,21,18,9,23,12,17,14,13,21,16,17,23,19,14,18,16,18,11,20,12,21,25,21,19,27,21,17,22,14
"Sbj26_Time2",2,26,29,13,19,13,21,32,31,23,19,22,27,34,12,21,39,18,14,32,32,23,39,14,26,12,29,21,9,45,24,39,16,18,36,20,29,11,23,23,19,27,11,16,38,21,9,15,23,31,31,9
"Sbj26_Time3",3,26,32,19,14,12,22,37,33,20,28,18,22,31,15,14,33,18,15,30,31,26,35,15,33,21,33,21,14,37,25,48,16,15,38,19,26,11,18,14,20,26,11,12,37,23,11,15,18,29,32,14
"Sbj26_Time4",4,26,30,14,18,14,20,31,23,14,20,25,21,35,16,21,36,15,12,25,25,22,42,12,31,19,27,17,14,45,19,47,11,20,37,21,26,15,24,12,25,27,11,13,35,29,11,19,25,32,29,10
"Sbj27_Time1",1,27,16,24,22,17,11,19,20,16,17,22,23,19,19,18,19,18,18,21,11,14,14,20,14,16,21,16,15,12,19,19,24,16,16,15,26,16,25,19,14,19,17,11,16,20,8,23,17,19,14,15
"Sbj27_Time2",2,27,31,15,12,13,35,23,37,34,34,24,23,36,27,29,35,22,21,13,26,22,23,16,17,10,27,17,12,35,15,38,11,20,31,29,31,13,29,26,32,33,9,23,31,34,11,11,28,42,19,14
"Sbj27_Time3",3,27,24,16,13,13,30,19,34,29,33,23,14,38,28,25,36,26,14,18,30,17,26,23,21,9,33,16,15,34,8,33,11,24,31,27,37,17,22,25,38,34,10,32,35,33,13,12,32,49,19,13
"Sbj27_Time4",4,27,29,14,12,12,34,18,36,37,26,23,18,30,30,26,32,29,15,15,29,22,19,22,24,13,25,21,12,35,16,37,13,22,34,31,39,13,34,22,39,30,14,25,34,25,15,15,29,47,27,15
"Sbj28_Time1",1,28,15,16,19,14,20,16,22,15,19,14,22,5,19,17,15,17,19,21,18,19,14,20,12,24,19,12,21,20,15,10,16,23,14,22,15,12,13,11,11,11,21,20,14,25,17,15,15,17,9,14
"Sbj28_Time2",2,28,27,15,20,13,18,26,44,18,8,29,26,46,13,23,36,16,10,15,30,20,38,13,20,30,36,25,18,38,13,50,9,19,41,12,17,17,15,10,27,13,9,25,49,13,11,8,15,42,20,19
"Sbj28_Time3",3,28,25,13,19,16,12,28,39,23,13,23,27,46,15,19,35,13,14,12,22,23,46,18,19,27,40,29,11,34,13,43,11,21,36,11,14,22,13,15,33,19,12,29,47,18,16,15,17,35,19,18
"Sbj28_Time4",4,28,21,15,14,10,22,28,42,18,20,25,25,48,11,24,38,10,13,17,28,18,43,10,14,27,36,22,16,36,18,48,16,18,43,6,19,24,9,13,28,16,12,30,50,20,11,17,14,38,18,25
"Sbj29_Time1",1,29,15,17,14,20,26,18,22,19,21,18,18,16,12,16,14,18,15,10,12,13,16,18,19,12,19,21,19,23,21,19,19,13,25,17,24,24,18,10,17,20,21,13,17,20,18,20,17,17,21,19
"Sbj29_Time2",2,29,23,5,13,9,24,21,28,13,27,14,26,35,13,21,28,14,15,6,22,19,29,24,11,19,29,30,17,36,12,40,11,21,34,13,24,18,18,11,21,31,8,28,43,20,13,15,18,28,34,15
"Sbj29_Time3",3,29,27,14,13,20,25,28,31,14,24,15,24,32,17,25,30,15,10,14,18,20,33,26,16,21,33,26,17,41,17,41,12,21,37,13,30,17,22,17,15,27,17,32,41,12,12,9,17,32,29,10
"Sbj29_Time4",4,29,32,13,15,11,22,28,29,12,23,12,23,34,13,28,29,9,18,15,27,11,37,21,15,14,29,28,15,38,18,33,15,15,31,12,23,15,20,15,21,30,16,23,48,18,11,15,17,31,30,9
"Sbj3_Time1",1,3,18,16,12,9,15,18,24,14,13,22,18,13,11,22,17,9,25,14,10,21,16,19,20,18,29,25,20,20,24,13,16,9,22,17,12,30,16,18,20,10,16,22,18,14,17,12,20,22,15,15
"Sbj3_Time2",2,3,21,15,19,15,24,35,33,17,13,26,18,36,9,23,34,12,11,15,29,17,40,17,19,27,36,33,20,43,13,47,11,18,40,12,25,29,30,15,31,27,14,35,50,19,15,9,13,37,31,12
"Sbj3_Time3",3,3,22,14,8,15,26,32,36,20,10,29,8,38,10,22,35,12,9,15,29,19,44,18,15,21,37,28,19,43,13,50,15,19,36,6,24,27,30,14,25,21,11,31,45,13,12,13,15,36,24,19
"Sbj3_Time4",4,3,29,18,14,11,21,33,34,18,15,26,18,37,14,22,38,13,6,16,31,19,42,16,18,30,31,40,17,39,12,43,16,22,43,17,29,25,33,10,29,21,11,28,48,11,12,16,22,38,24,18
"Sbj30_Time1",1,30,19,23,19,14,18,17,19,20,24,24,20,25,15,12,19,27,12,24,13,14,15,23,19,12,17,15,22,11,14,13,18,14,17,20,23,14,19,13,15,18,15,14,11,18,15,19,20,12,18,15
"Sbj30_Time2",2,30,34,14,15,14,32,29,35,14,20,21,21,26,12,19,32,18,28,20,19,29,42,17,27,8,33,22,9,35,25,39,11,10,38,17,23,13,15,33,33,24,18,28,45,24,12,18,38,44,33,28
"Sbj30_Time3",3,30,30,12,13,9,25,30,36,14,15,19,22,29,12,20,34,18,19,19,23,24,46,18,23,10,32,23,12,36,21,38,11,15,38,22,24,7,14,29,28,21,9,17,50,30,17,12,34,39,29,23
"Sbj30_Time4",4,30,33,20,14,10,31,24,34,18,11,18,20,35,18,25,31,23,23,27,24,20,44,20,28,10,31,21,11,37,22,44,14,20,36,15,25,9,18,20,36,32,14,31,44,26,11,12,28,40,32,25
"Sbj31_Time1",1,31,16,14,13,24,23,22,16,14,25,12,18,21,15,9,24,8,15,19,15,24,16,8,14,16,27,22,15,17,15,17,25,26,20,9,15,13,19,18,17,15,14,13,24,17,9,20,26,20,19,15
"Sbj31_Time2",2,31,34,10,17,13,18,34,36,17,20,21,24,45,14,21,32,12,19,20,16,19,37,24,19,20,31,37,19,46,16,41,18,18,43,15,21,28,31,30,20,22,9,24,52,18,12,9,24,42,29,18
"Sbj31_Time3",3,31,29,13,7,12,20,33,29,20,19,16,27,43,16,21,33,11,10,21,19,25,38,28,17,13,35,35,9,47,15,39,17,26,37,18,22,24,27,26,19,19,10,25,54,16,10,13,16,45,31,16
"Sbj31_Time4",4,31,28,13,8,8,18,29,32,19,18,17,27,43,17,21,33,15,7,23,25,25,45,27,18,25,28,37,9,46,18,44,12,19,40,17,18,26,30,23,28,15,7,33,54,16,20,13,19,42,34,18
"Sbj32_Time1",1,32,16,12,11,17,15,8,11,12,13,22,24,13,24,17,22,14,13,23,21,15,23,15,18,18,28,15,24,11,17,11,20,13,22,17,21,16,16,20,15,18,4,21,19,17,13,20,13,15,8,20
"Sbj32_Time2",2,32,31,13,12,10,31,21,36,21,24,18,25,33,10,30,35,14,13,22,25,14,31,18,21,15,28,23,8,30,15,44,7,16,36,27,29,12,13,22,28,20,9,26,45,15,11,12,29,31,29,12
"Sbj32_Time3",3,32,27,14,9,12,25,23,33,23,18,13,24,33,17,38,37,13,16,17,29,12,33,14,23,16,22,18,14,34,14,45,15,16,35,22,30,15,6,23,26,26,13,29,47,22,15,7,23,33,29,14
"Sbj32_Time4",4,32,29,11,8,11,25,24,37,20,19,19,27,35,12,29,36,13,20,19,20,19,28,18,20,17,23,13,19,33,18,48,18,16,32,21,33,12,16,21,29,20,18,26,48,20,11,16,31,28,29,13
"Sbj33_Time1",1,33,26,13,19,14,22,11,27,13,17,14,19,8,25,26,22,14,16,24,12,7,25,16,16,16,23,17,16,21,12,23,20,13,8,14,15,7,19,18,25,17,8,14,17,13,13,19,13,19,17,21
"Sbj33_Time2",2,33,24,11,16,14,34,26,37,31,17,23,20,29,9,22,35,11,8,18,29,22,36,13,22,15,37,17,14,30,10,33,13,20,20,20,28,9,18,19,36,25,14,16,29,18,18,13,18,34,25,14
"Sbj33_Time3",3,33,18,11,23,13,29,21,36,26,19,24,16,17,10,21,37,15,16,19,27,16,33,15,20,18,35,22,18,28,16,26,9,15,22,17,29,9,20,20,36,20,12,20,35,22,17,14,16,33,30,13
"Sbj33_Time4",4,33,30,16,14,9,34,31,32,31,10,33,27,24,13,15,36,10,7,23,26,16,29,11,19,25,31,15,21,31,8,34,18,19,28,14,29,12,20,20,38,26,12,22,30,15,17,16,18,34,26,16
"Sbj34_Time1",1,34,19,20,17,18,13,15,20,16,18,17,21,22,19,14,25,25,20,15,10,9,11,14,11,13,18,20,17,17,23,18,16,23,18,27,16,21,18,11,18,23,20,18,15,17,11,22,12,13,16,16
"Sbj34_Time2",2,34,31,13,13,10,21,36,28,24,28,19,18,47,11,25,40,14,16,13,17,20,35,24,14,12,31,38,12,41,21,53,13,17,42,33,27,25,33,26,21,28,11,37,57,15,13,15,24,41,30,13
"Sbj34_Time3",3,34,34,8,6,11,23,29,30,25,30,15,18,45,17,22,40,7,14,19,16,20,42,22,18,19,26,39,12,40,17,47,8,15,45,24,35,18,39,18,22,30,8,36,58,14,12,14,21,42,38,15
"Sbj34_Time4",4,34,23,14,18,14,27,27,31,31,31,21,22,45,13,23,32,12,6,18,22,22,37,20,19,10,32,36,18,40,19,49,19,17,43,29,32,12,27,24,23,32,8,38,57,18,14,16,31,46,38,14
"Sbj35_Time1",1,35,13,13,21,26,11,26,21,23,20,15,14,19,13,20,13,25,17,18,16,26,9,19,10,18,21,17,24,22,18,25,14,16,7,14,8,21,19,22,13,22,16,16,13,23,17,19,22,24,11,17
"Sbj35_Time2",2,35,36,10,14,16,15,32,39,14,27,17,23,38,13,25,31,10,15,13,26,16,25,18,28,18,19,11,20,38,7,29,13,23,27,28,29,24,24,22,32,14,10,19,33,31,11,14,27,29,26,17
"Sbj35_Time3",3,35,29,8,12,10,20,31,29,16,29,23,22,33,15,22,28,13,19,25,15,18,29,17,25,21,23,11,19,35,13,39,10,18,29,27,24,23,16,26,24,15,13,28,34,21,14,19,30,30,25,19
"Sbj35_Time4",4,35,29,13,9,11,16,38,30,15,26,15,28,34,15,31,33,9,22,14,22,13,40,17,23,15,22,13,15,33,7,31,16,22,33,23,27,19,22,24,24,15,11,31,27,23,14,17,29,29,24,17
"Sbj36_Time1",1,36,19,18,16,23,12,23,24,19,20,18,14,18,24,15,14,21,15,28,17,20,22,17,21,13,14,20,21,17,14,17,10,22,20,19,15,14,18,20,16,20,14,20,28,20,20,16,17,19,25,15
"Sbj36_Time2",2,36,36,12,12,8,30,42,33,22,13,20,27,27,16,22,51,19,17,37,37,14,51,15,37,16,36,15,26,35,18,44,11,26,29,20,27,13,16,24,30,16,15,22,47,22,17,12,24,46,34,12
