"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj36_Time2",6,39,24,85,20,48,38,14,53,13,19,19,26,24,50,28,51,43,33,60,43,27,21,72,20,15,34,29,21,21,23,23,11,24,30,18,36,4,26,12,10,10,20,17,29,28,15,24,16,44,36,10,19,22,12,6,11,34,38,13,13,40,12,18,28,25,21,29,29,33,24,37,20,16,26,20,13,24,29,6,9,25,29,9,10,68,6,40,22,55,14,31,44,17,37,12,15,34,38,56
"Sbj37_Time2",5,8,17,33,24,18,28,30,11,33,41,17,21,14,21,21,27,35,24,16,42,73,7,35,13,22,67,25,19,12,9,36,14,19,23,31,8,40,19,20,37,7,9,9,26,20,32,26,12,14,28,11,18,21,17,34,19,28,56,18,26,11,27,25,21,16,19,47,12,32,40,7,33,64,16,7,17,12,71,16,39,43,27,27,40,58,29,15,24,10,6,37,51,21,34,42,15,19,68,23
"Sbj38_Time2",16,41,41,4,22,6,10,54,35,38,47,28,19,38,34,30,19,6,22,10,14,22,8,13,32,35,62,47,35,9,43,15,36,24,44,8,33,37,32,12,15,41,34,31,17,16,6,38,14,21,37,34,10,13,12,28,50,46,64,29,53,40,11,23,9,14,11,25,34,67,20,39,12,37,21,91,68,5,37,32,64,32,52,23,23,16,36,22,21,32,10,15,31,19,63,20,11,14,20,5
"Sbj39_Time2",10,29,12,66,17,16,21,39,26,25,42,43,21,26,28,7,9,15,8,18,24,19,18,59,41,23,15,85,36,16,40,36,29,26,28,3,30,13,12,19,29,45,17,25,18,7,11,42,10,31,17,61,23,34,18,34,42,23,23,26,47,13,47,44,15,46,27,16,57,9,23,30,17,24,69,19,16,60,24,51,9,27,20,15,49,59,2,15,16,26,49,17,28,25,20,3,34,17,44,10
"Sbj4_Time2",8,35,28,25,30,9,18,33,5,19,20,23,10,49,18,16,6,15,44,9,42,14,64,22,45,7,25,36,29,17,23,22,32,27,42,29,24,30,42,23,17,19,13,23,21,8,10,30,37,21,12,18,10,39,27,53,55,49,7,26,19,35,33,6,22,99,64,17,17,12,24,13,44,15,48,25,36,25,13,2,10,39,24,18,14,32,46,8,38,35,11,12,39,19,24,14,42,28,29,13
"Sbj40_Time2",12,63,5,32,17,31,14,35,34,24,19,20,18,18,33,8,4,48,39,18,13,41,35,23,46,26,42,17,16,18,32,13,30,24,10,25,32,32,27,11,26,24,69,44,31,12,33,21,24,45,29,5,28,15,27,18,33,23,36,20,29,32,29,37,15,14,17,13,13,19,10,28,43,14,23,55,28,20,22,14,1,52,14,33,16,57,24,50,34,5,6,19,52,18,44,29,14,24,18,3
"Sbj41_Time2",19,24,53,23,25,61,20,17,22,15,27,19,30,44,16,30,19,16,31,31,10,23,12,35,33,16,6,23,34,37,18,56,18,35,28,12,40,36,27,20,15,9,78,13,8,35,7,11,34,10,23,8,14,37,29,34,57,12,30,23,50,19,25,39,28,27,32,3,22,13,12,16,43,36,22,13,24,11,36,35,33,20,35,7,30,36,14,20,33,35,39,22,22,41,6,22,23,36,16,38
"Sbj42_Time2",24,33,6,6,48,40,49,43,23,17,8,15,40,9,11,10,38,14,23,14,24,36,68,9,27,11,17,8,13,77,12,30,10,24,26,36,39,8,73,8,14,6,19,25,36,17,15,19,11,28,26,16,31,26,48,19,19,17,19,14,9,14,9,54,46,18,20,37,15,22,19,18,37,35,27,22,38,1,27,26,11,9,12,11,26,28,33,29,0,26,31,42,5,34,24,26,26,49,42,15
"Sbj43_Time2",45,3,15,33,4,11,18,13,14,6,25,10,2,21,37,8,13,14,38,29,16,15,21,17,44,29,10,18,21,23,13,21,21,21,33,21,8,11,22,59,9,8,28,31,31,26,34,21,28,5,15,30,19,46,11,24,13,22,19,8,13,13,11,25,19,32,28,28,17,10,42,37,23,57,23,42,18,20,56,34,34,29,14,37,21,34,15,18,10,34,12,28,22,10,7,12,27,24,5,24
"Sbj44_Time2",37,27,55,40,17,21,67,21,23,40,45,24,19,37,27,23,62,32,18,12,11,24,56,12,49,22,68,50,25,10,5,27,4,0,27,71,19,39,35,36,30,10,27,11,22,23,12,39,27,18,46,21,29,14,32,28,6,23,17,12,18,7,19,36,12,27,25,35,13,16,33,30,26,46,19,34,20,27,13,18,33,6,8,12,33,31,41,16,35,27,48,28,32,27,29,8,22,14,20,14
"Sbj45_Time2",7,11,14,33,11,17,22,26,6,34,35,31,102,16,18,20,59,31,9,26,16,36,17,75,25,25,34,16,31,20,55,20,48,26,15,27,36,38,45,18,14,30,37,13,16,21,15,22,46,12,9,10,53,25,32,20,12,30,25,46,17,28,43,2,16,31,27,18,21,32,23,38,44,13,40,18,22,12,32,32,55,34,11,46,24,39,20,27,12,19,19,11,19,34,44,3,16,22,1,13
"Sbj46_Time2",30,7,12,9,37,43,70,9,16,17,34,9,15,45,55,81,47,15,29,16,13,29,16,17,22,22,11,23,21,19,10,14,5,29,24,24,19,26,31,32,41,13,20,20,9,17,32,13,30,66,14,26,26,39,13,41,24,34,9,29,30,16,6,39,8,25,35,24,19,19,50,3,4,7,46,26,13,38,26,30,38,12,4,36,30,25,36,10,33,48,38,42,26,20,41,8,40,29,32,39
"Sbj47_Time2",29,22,32,23,40,34,14,43,21,11,9,31,21,32,13,6,24,19,12,24,38,24,45,27,19,31,69,22,12,51,12,35,24,31,7,31,15,16,41,10,19,29,28,24,28,18,29,6,25,20,28,14,11,51,49,14,15,20,19,31,26,44,21,27,43,16,18,39,52,45,28,45,22,14,29,39,20,31,19,30,14,46,20,29,28,19,32,31,12,14,22,14,40,22,5,21,42,39,10,37
"Sbj48_Time2",26,48,10,29,28,22,11,19,24,47,20,7,9,9,36,15,34,31,19,9,26,21,53,44,15,35,20,23,21,28,40,15,50,26,13,20,18,25,29,8,8,39,32,37,25,19,74,29,21,11,23,8,46,15,23,17,58,31,33,12,23,12,23,41,19,23,30,32,19,23,18,39,10,83,28,30,29,35,20,4,31,26,52,1,49,13,21,15,24,23,26,15,39,14,28,27,19,25,38,21
"Sbj49_Time2",32,22,17,10,17,18,37,22,47,18,22,47,9,39,42,15,33,11,18,38,22,25,21,19,23,9,48,13,8,27,18,44,15,28,11,30,31,57,16,17,3,13,31,25,42,30,17,24,3,40,19,58,44,21,35,9,32,15,4,3,26,21,25,33,30,19,11,23,22,33,37,71,24,14,15,17,20,61,53,13,50,20,15,8,2,9,6,40,30,17,28,30,10,39,13,37,26,21,63,11
"Sbj5_Time2",12,10,27,45,11,18,22,19,28,38,7,7,23,38,13,27,11,22,40,14,15,24,18,24,32,15,7,31,10,32,11,14,8,32,36,15,37,18,17,24,4,20,18,16,34,15,22,18,70,27,22,69,33,40,51,23,11,12,13,21,14,17,20,44,39,24,51,17,43,20,30,21,64,45,62,28,17,8,34,16,41,23,28,17,19,26,19,10,29,11,24,29,40,20,62,24,40,33,16,27
"Sbj50_Time2",11,18,10,25,10,13,70,9,12,10,9,30,11,8,14,21,62,61,21,35,9,11,17,37,22,36,13,42,20,35,9,55,10,28,18,11,32,18,7,51,27,3,29,39,27,21,20,21,14,14,4,45,16,46,26,30,2,15,25,46,64,26,9,39,38,34,23,14,25,19,35,27,7,28,17,29,23,10,44,21,23,1,5,47,46,16,19,34,29,30,29,42,26,42,31,48,44,36,21,28
"Sbj51_Time2",52,41,35,9,3,18,1,13,43,12,50,16,31,46,37,20,3,28,41,19,8,11,21,18,16,21,9,42,35,22,41,45,128,33,24,12,29,39,19,31,37,40,7,8,21,9,21,34,23,26,20,23,19,42,16,26,24,21,29,15,28,48,9,25,15,17,38,33,20,29,10,31,13,16,26,12,7,13,12,18,51,91,60,35,13,18,65,12,13,17,2,4,10,37,19,27,67,17,47,15
"Sbj52_Time2",21,20,20,15,18,28,10,52,15,24,24,6,5,34,17,36,19,11,13,9,25,17,25,27,19,51,10,23,13,14,44,14,30,28,14,16,38,7,22,4,47,41,5,17,44,35,5,28,10,18,15,17,21,22,20,20,4,27,18,17,12,28,50,45,21,33,13,8,18,33,8,22,15,16,10,32,28,20,30,15,26,57,29,7,4,45,26,28,39,13,41,10,35,27,12,42,34,23,9,8
"Sbj53_Time2",21,19,8,21,40,20,29,24,7,34,21,51,24,39,14,13,39,22,82,15,21,34,2,4,11,28,13,35,30,13,20,25,20,27,10,34,23,33,32,32,66,14,6,21,10,23,47,19,20,44,50,13,17,19,29,4,25,45,24,50,14,28,36,31,24,40,9,20,12,30,14,50,6,34,19,21,21,14,15,7,17,11,22,18,29,20,39,69,32,28,20,49,13,32,21,11,12,18,16,21
"Sbj54_Time2",22,33,28,29,11,6,15,36,57,38,40,12,11,27,13,34,26,39,46,35,35,35,4,26,40,36,29,58,29,8,68,6,59,22,8,36,64,27,13,10,25,52,30,24,50,8,34,51,16,9,71,40,6,9,27,7,59,24,13,12,28,45,27,17,6,63,11,55,21,12,19,14,33,8,9,26,38,14,28,26,16,34,43,23,32,23,7,25,33,20,14,9,30,9,8,40,17,11,47,6
"Sbj55_Time2",20,26,14,17,8,8,31,24,12,29,56,13,37,22,28,19,22,22,19,34,33,22,26,29,30,40,84,43,26,18,31,9,19,32,61,13,31,28,12,30,11,22,42,17,3,32,69,38,51,14,50,43,24,26,12,19,21,20,10,62,30,18,25,10,18,45,85,16,10,35,23,40,2,43,47,8,21,19,27,46,20,14,12,39,26,56,41,5,43,33,23,16,9,21,39,41,33,16,5,47
"Sbj56_Time2",2,35,15,22,43,25,16,22,41,19,10,19,27,12,24,21,37,21,16,11,15,12,16,14,7,37,26,29,7,44,29,41,21,30,29,17,43,26,35,41,49,23,34,17,45,16,22,22,10,19,22,27,15,23,34,7,64,18,4,5,6,17,19,15,34,16,21,5,29,11,37,24,8,14,17,35,11,47,12,34,19,29,29,22,19,45,44,26,20,17,9,7,20,14,31,18,15,35,71,18
"Sbj57_Time2",29,23,29,24,42,42,33,52,21,11,2,7,15,52,23,18,25,55,11,12,13,7,31,35,31,10,10,13,8,65,27,49,19,20,50,25,27,20,39,7,26,10,10,26,27,26,43,2,39,56,21,17,42,19,41,19,15,15,110,21,28,22,39,6,51,7,79,3,13,44,41,24,40,15,43,17,22,4,13,34,26,27,15,16,34,22,18,0,8,37,31,44,9,53,20,13,16,59,20,25
"Sbj58_Time2",53,42,12,18,26,4,27,29,19,47,64,51,11,9,20,37,15,34,7,16,38,24,43,43,57,15,7,16,33,4,17,25,11,34,19,20,92,39,26,14,26,21,7,21,17,17,17,18,15,6,24,7,30,15,18,2,41,49,42,18,29,46,17,37,10,9,21,33,48,24,23,23,44,19,16,22,22,30,17,13,32,24,28,32,37,28,34,54,27,22,21,20,6,7,33,21,20,10,27,14
"Sbj59_Time2",25,16,13,44,49,41,32,14,16,10,8,20,18,5,13,5,34,4,12,26,18,10,21,42,28,25,22,22,11,40,24,26,29,23,29,23,27,13,31,44,8,37,15,31,9,24,24,11,42,24,9,19,21,37,52,9,8,13,28,28,19,33,8,35,33,20,45,21,0,51,10,8,27,15,39,10,18,39,34,14,18,9,36,54,7,46,9,14,18,22,27,43,30,20,31,7,17,40,33,58
"Sbj6_Time2",21,19,25,33,20,12,22,59,13,22,13,23,14,13,16,29,25,10,19,33,34,13,15,12,17,27,49,20,24,38,27,36,37,23,36,27,54,25,10,10,7,4,18,23,11,15,41,22,46,96,8,15,34,31,22,29,42,10,12,31,31,26,11,18,29,24,32,44,24,13,22,18,11,24,34,38,24,14,11,25,30,27,22,12,21,48,12,25,7,13,46,27,38,22,23,10,48,32,17,7
"Sbj60_Time2",31,27,13,32,14,26,18,7,19,7,47,47,39,9,23,9,10,28,27,33,51,3,7,20,28,57,41,7,37,9,23,17,27,21,23,23,28,56,24,34,11,20,8,16,34,47,17,25,22,6,24,49,68,36,17,32,21,32,21,33,12,48,15,22,8,28,34,4,37,14,13,8,5,45,35,18,13,10,18,4,6,38,10,20,10,32,22,15,28,21,23,18,53,34,21,17,64,21,35,41
"Sbj61_Time2",27,53,62,21,0,37,28,26,4,15,23,20,23,13,44,28,30,18,29,14,23,16,6,19,11,4,15,23,26,22,31,19,29,22,21,13,41,53,8,9,47,26,10,22,20,13,33,9,29,13,31,56,5,27,22,21,20,33,16,31,27,27,26,39,14,24,19,10,23,34,17,58,29,18,32,18,22,17,24,51,50,18,14,16,36,49,16,29,32,14,43,13,22,9,17,29,16,28,29,13
"Sbj62_Time2",35,9,22,71,31,13,10,20,20,19,42,32,52,17,26,27,10,19,50,9,30,8,21,36,38,26,26,16,35,16,61,6,49,27,6,22,15,47,17,32,22,51,12,41,35,21,14,35,33,49,31,22,15,24,29,40,14,49,8,20,30,33,36,29,24,5,21,7,16,37,24,11,3,30,4,24,7,19,57,38,15,32,45,16,33,42,20,36,23,25,10,5,52,21,24,61,24,16,19,30
"Sbj63_Time2",26,20,9,48,19,16,27,13,61,37,23,15,41,48,22,28,39,15,12,27,27,38,11,33,7,29,8,32,36,16,22,13,14,24,16,22,13,38,25,42,24,12,9,35,15,19,25,24,15,14,33,21,27,17,15,17,11,36,25,11,36,28,29,26,18,52,27,20,31,19,34,38,18,26,10,25,21,43,29,13,5,20,45,24,10,47,11,17,5,8,90,14,42,14,27,57,17,26,17,18
"Sbj64_Time2",16,24,47,5,53,4,70,24,37,18,71,15,16,17,40,32,17,6,26,38,22,13,12,30,12,55,15,29,50,3,17,57,9,26,10,27,26,48,28,42,15,11,22,33,47,31,38,73,18,20,9,17,18,55,10,20,10,58,18,11,16,23,13,28,5,17,20,21,10,6,41,40,28,55,24,10,9,14,14,66,59,18,6,13,6,21,50,25,57,15,20,82,13,11,34,16,57,7,11,16
