"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj2_Time3",3,2,25,27,13,11,15,45,15,13,21,18,8,26,15,23,34,9,25,26,16,21,22,9,36,23,48,25,30,20,43,13,48,15,7,32,11,22,18,50,15,44,9,54,11,12,10,35,20,30,14,29
"Sbj2_Time4",4,2,26,24,11,7,17,42,16,21,19,13,10,27,23,21,32,11,30,20,10,22,22,13,31,28,36,22,30,21,44,17,49,15,9,37,16,22,15,46,13,38,7,50,10,16,14,28,27,31,9,32
"Sbj20_Time1",1,20,19,20,18,23,15,14,15,13,10,9,15,17,12,24,19,14,21,17,20,15,22,10,15,19,8,13,12,17,18,19,13,13,17,12,12,15,15,15,15,17,10,12,16,12,12,18,11,8,13,17
"Sbj20_Time2",2,20,16,47,52,12,31,12,25,18,30,38,55,7,29,15,13,40,8,15,39,43,45,30,15,32,24,31,34,10,11,26,15,13,22,46,14,10,22,24,14,50,7,13,31,10,40,38,13,12,36,31
"Sbj20_Time3",3,20,21,53,51,8,38,10,27,17,31,43,56,12,31,9,13,36,11,20,41,41,40,30,17,32,24,27,30,9,18,32,10,11,17,47,11,11,25,22,17,55,12,13,22,7,48,35,10,14,45,30
"Sbj20_Time4",4,20,21,51,46,15,37,11,19,17,25,36,53,13,27,8,12,36,10,13,30,41,36,26,22,29,28,27,23,19,15,27,13,8,22,45,11,12,20,26,17,60,10,13,23,7,42,37,8,7,38,30
"Sbj21_Time1",1,21,17,9,5,8,14,14,17,20,17,15,18,20,21,17,11,15,19,16,19,15,17,22,17,10,19,21,16,16,12,19,18,18,14,17,21,19,16,16,14,21,17,22,23,12,10,16,14,17,14,14
"Sbj21_Time2",2,21,17,9,17,27,19,14,13,14,24,27,23,20,21,36,30,11,13,7,12,42,26,22,28,9,24,15,34,12,22,21,24,12,27,25,7,18,15,13,22,27,34,20,22,10,17,13,26,14,12,31
"Sbj21_Time3",3,21,16,12,18,23,22,12,21,13,26,23,27,20,21,34,31,15,13,3,15,39,27,21,20,11,30,13,40,12,25,24,26,11,27,27,10,10,13,14,17,29,32,16,13,11,15,15,22,8,14,28
"Sbj21_Time4",4,21,18,21,13,23,13,9,21,17,18,19,21,21,21,34,28,11,13,12,10,40,30,22,26,15,29,11,41,11,31,22,23,11,32,24,13,17,16,15,18,28,34,19,15,10,19,18,31,6,13,28
"Sbj22_Time1",1,22,14,15,13,12,15,8,15,14,13,10,15,14,23,15,19,10,6,22,20,11,13,9,15,17,22,11,20,13,19,18,15,13,16,20,14,11,16,18,15,13,13,9,11,11,21,17,12,18,20,20
"Sbj22_Time2",2,22,28,21,5,16,23,8,9,57,51,10,39,39,5,20,14,16,30,13,9,11,14,16,23,12,19,41,3,33,17,31,64,33,14,34,13,7,26,7,49,48,61,14,20,8,16,25,42,19,41,10
"Sbj22_Time3",3,22,31,34,10,17,24,11,16,55,41,16,31,29,11,21,14,13,32,17,7,6,12,15,24,8,14,40,15,32,17,30,72,32,17,37,14,9,22,12,54,44,69,14,27,15,18,21,41,13,47,11
"Sbj22_Time4",4,22,29,31,15,13,21,10,14,58,44,12,40,41,13,13,9,19,29,22,14,6,6,7,26,4,12,38,7,29,16,22,62,27,19,32,11,11,26,9,43,44,66,15,18,10,18,22,41,14,40,12
"Sbj23_Time1",1,23,17,24,15,16,16,8,10,17,24,10,19,16,19,13,24,13,20,21,18,15,13,20,17,20,11,22,14,23,14,6,13,9,11,11,11,14,16,22,12,17,23,14,15,15,10,15,19,16,15,20
"Sbj23_Time2",2,23,15,17,13,9,13,20,24,8,16,34,10,30,10,30,21,28,32,29,7,12,30,33,29,16,33,35,15,23,32,12,16,16,33,10,33,17,16,16,15,10,15,21,32,14,35,17,25,13,14,25
"Sbj23_Time3",3,23,8,26,14,13,13,24,24,9,8,37,12,33,11,26,27,21,40,32,14,14,34,28,22,22,42,31,7,24,32,13,17,19,24,12,30,8,15,16,17,9,18,17,34,8,32,8,26,19,12,27
"Sbj23_Time4",4,23,14,23,13,14,17,24,26,10,9,33,13,36,14,31,30,26,36,28,15,17,37,40,22,23,36,29,14,33,28,15,24,16,27,13,31,13,14,15,12,16,16,17,39,13,31,16,25,19,13,32
"Sbj24_Time1",1,24,24,20,16,5,17,15,18,24,21,22,18,11,14,11,19,20,10,20,21,19,13,14,16,20,16,20,13,15,20,19,23,20,18,15,17,3,20,10,10,8,22,15,17,14,14,18,15,20,19,19
"Sbj24_Time2",2,24,20,24,16,32,18,17,16,6,16,32,24,16,18,19,7,22,36,14,12,29,14,18,12,19,30,22,10,32,39,18,14,21,26,9,16,17,21,19,11,7,22,27,11,45,21,14,11,8,26,27
"Sbj24_Time3",3,24,28,26,15,29,11,18,21,13,12,32,27,21,18,19,11,26,37,21,13,33,18,8,15,13,23,16,13,26,34,19,26,23,30,10,11,13,23,17,7,13,19,22,8,48,19,14,5,12,26,24
"Sbj24_Time4",4,24,28,26,14,27,16,25,18,4,15,27,20,20,21,19,10,29,34,24,5,35,13,12,12,16,27,17,8,23,37,14,20,20,24,13,13,11,17,17,14,18,14,21,12,42,19,25,14,15,26,27
"Sbj25_Time1",1,25,9,11,15,9,12,18,9,17,22,18,19,19,19,20,14,23,23,19,19,16,23,21,18,18,24,16,14,9,13,15,16,19,11,20,18,21,18,18,3,22,15,17,8,17,18,12,19,21,19,14
"Sbj25_Time2",2,25,32,18,10,25,17,7,32,15,13,14,13,27,26,34,11,8,24,19,15,11,17,7,19,24,28,9,29,19,30,22,7,35,20,26,18,27,30,7,11,16,6,25,34,7,21,15,29,21,22,13
"Sbj25_Time3",3,25,31,21,17,21,20,11,32,14,18,16,10,24,21,31,15,3,23,18,22,5,21,6,14,19,34,9,23,18,23,16,13,41,13,29,13,31,31,14,16,13,11,25,30,6,21,13,30,22,22,10
"Sbj25_Time4",4,25,29,22,14,22,19,13,37,11,10,11,11,27,25,26,10,9,27,19,18,15,21,14,12,24,27,11,23,19,24,14,7,33,17,30,16,32,33,7,5,20,5,25,34,10,20,13,23,26,23,19
"Sbj26_Time1",1,26,8,19,18,12,24,21,20,9,23,13,16,16,18,13,16,13,16,16,17,16,18,13,19,15,13,25,20,5,17,15,13,19,9,14,15,12,22,15,19,11,17,14,12,13,18,10,20,12,24,7
"Sbj26_Time2",2,26,7,12,21,17,8,22,17,11,33,21,22,19,23,15,5,27,6,23,17,10,11,14,12,16,17,28,20,7,23,21,24,19,16,29,29,23,16,10,26,23,13,6,20,27,22,20,20,8,12,16
"Sbj26_Time3",3,26,6,8,18,16,12,23,24,19,23,24,22,21,24,12,5,28,7,20,24,14,16,13,12,15,23,28,27,10,20,24,29,19,15,19,28,19,25,16,24,19,20,15,19,26,28,24,18,17,10,12
"Sbj26_Time4",4,26,14,15,22,15,9,16,15,16,26,23,19,21,21,14,11,29,13,19,24,16,10,15,9,20,18,28,28,8,22,18,31,22,18,24,27,24,16,12,25,29,14,13,19,25,17,16,16,11,14,14
"Sbj27_Time1",1,27,13,20,14,9,17,17,24,15,19,23,21,15,14,17,17,16,14,10,17,20,14,8,13,11,23,19,10,16,9,17,13,17,12,13,21,23,16,20,17,14,23,14,16,14,14,11,21,13,12,18
"Sbj27_Time2",2,27,9,23,9,13,16,28,22,15,12,15,5,23,20,15,22,16,13,19,31,10,8,18,18,19,21,13,10,18,20,16,17,31,24,5,5,12,12,13,24,17,27,17,21,20,15,12,25,34,10,18
"Sbj27_Time3",3,27,9,25,9,12,13,22,25,23,17,17,10,18,17,13,24,21,18,16,27,12,12,19,21,18,17,16,8,18,25,16,18,22,27,9,10,9,15,15,26,15,24,20,26,21,5,11,11,33,25,13
"Sbj27_Time4",4,27,13,21,12,10,6,26,19,26,16,21,5,16,16,8,16,10,14,17,21,19,12,14,23,11,23,9,7,16,22,13,17,27,25,13,10,9,11,22,19,9,21,25,28,20,15,8,12,30,17,18
"Sbj28_Time1",1,28,22,11,24,16,19,21,11,15,13,15,15,15,20,16,18,16,18,16,17,11,18,19,19,12,10,18,12,11,15,18,8,26,11,13,13,14,12,17,19,15,8,21,14,13,21,17,10,16,21,10
"Sbj28_Time2",2,28,30,22,41,30,60,14,41,11,80,24,59,10,10,24,74,7,9,73,17,13,65,75,12,22,15,58,50,12,7,15,42,47,26,6,14,10,30,91,57,15,20,97,10,15,16,86,13,64,63,11
"Sbj28_Time3",3,28,32,23,40,33,63,19,46,8,80,24,54,15,7,19,76,7,9,71,16,12,63,72,7,17,16,60,49,9,7,16,34,49,29,11,16,10,26,90,46,13,16,103,10,13,25,81,13,65,54,14
"Sbj28_Time4",4,28,35,22,41,36,50,16,46,10,75,28,56,10,19,16,76,8,13,70,13,9,66,72,12,17,10,56,47,9,11,7,41,48,24,5,16,10,25,98,49,13,23,96,10,14,24,84,9,63,62,12
"Sbj29_Time1",1,29,14,18,17,19,10,16,16,18,17,22,21,14,13,14,9,9,10,14,12,17,15,16,23,19,20,22,19,11,20,9,22,23,18,14,10,14,13,16,24,18,14,16,13,13,19,13,18,24,17,15
"Sbj29_Time2",2,29,6,2,31,25,17,107,69,5,34,33,29,75,47,12,11,23,45,56,6,27,14,6,32,80,8,54,38,55,3,38,56,45,33,19,58,9,59,114,14,89,79,6,12,36,66,13,34,18,12,20
"Sbj29_Time3",3,29,11,13,30,23,21,107,64,8,30,33,27,72,51,13,9,19,42,48,12,34,8,17,29,81,8,54,44,57,10,44,61,46,39,27,56,11,62,111,23,91,77,13,13,37,66,16,36,13,8,25
"Sbj29_Time4",4,29,11,10,34,23,21,110,63,11,27,34,24,76,47,9,12,15,38,52,12,28,12,8,29,80,8,54,42,56,9,42,59,49,39,24,56,11,58,104,24,92,73,9,16,36,74,11,33,4,13,19
"Sbj3_Time1",1,3,14,21,18,18,15,21,22,14,15,16,16,20,13,24,15,12,13,15,11,13,16,21,16,14,10,23,9,15,9,12,21,22,15,16,19,17,13,16,14,21,22,11,13,19,12,14,17,17,12,8
"Sbj3_Time2",2,3,117,15,66,9,12,5,54,165,35,11,132,6,5,44,151,12,97,35,7,30,9,10,71,69,86,10,11,110,74,11,53,128,75,87,114,32,10,13,70,91,19,10,75,15,12,59,11,65,153,14
"Sbj3_Time3",3,3,110,24,56,10,6,15,55,169,39,11,130,4,16,46,154,15,103,34,13,20,11,9,71,62,85,14,9,110,74,8,47,125,71,90,112,24,4,6,70,84,10,9,70,16,13,63,12,67,158,12
"Sbj3_Time4",4,3,113,16,66,10,12,12,59,166,30,14,131,9,10,43,157,13,101,27,6,26,17,9,78,69,85,13,5,104,77,13,56,125,77,94,112,30,16,13,74,87,9,9,72,8,12,60,15,70,158,9
"Sbj30_Time1",1,30,14,16,12,24,9,26,10,21,19,17,24,16,18,20,20,23,11,7,10,12,18,13,15,17,9,15,16,11,13,24,13,11,13,8,12,21,11,11,21,14,16,13,16,22,18,17,14,9,17,18
"Sbj30_Time2",2,30,36,67,37,62,46,74,17,8,29,10,38,64,70,8,64,52,10,15,18,17,38,32,14,10,39,17,46,34,36,50,23,25,10,6,22,22,7,69,37,30,12,50,54,41,10,18,16,46,7,12
"Sbj30_Time3",3,30,40,62,42,58,40,72,18,10,30,11,33,70,72,15,61,58,10,21,20,15,33,25,11,12,45,8,54,28,38,49,26,24,6,13,22,20,15,70,39,37,14,48,55,41,13,19,11,47,11,12
"Sbj30_Time4",4,30,40,62,42,61,42,76,22,15,40,12,42,56,71,4,55,62,10,16,15,18,37,32,15,8,43,12,56,28,39,50,20,23,14,11,22,13,13,73,42,38,13,48,55,39,21,14,14,46,11,9
"Sbj31_Time1",1,31,16,17,17,13,9,19,11,14,19,20,15,21,15,14,12,15,10,10,16,24,19,17,21,12,10,23,16,15,8,9,20,12,19,17,17,19,18,18,16,16,17,14,17,13,10,15,17,22,21,21
"Sbj31_Time2",2,31,10,12,13,5,11,24,21,10,21,17,13,15,13,19,23,25,16,18,16,8,19,28,6,22,17,21,25,23,21,7,12,17,7,25,18,15,8,18,23,28,14,14,22,24,16,29,15,17,16,19
"Sbj31_Time3",3,31,14,9,14,13,13,26,14,21,17,11,27,7,8,16,23,23,20,17,15,3,17,27,8,26,19,28,30,21,17,12,15,25,6,22,12,7,14,16,23,23,11,20,22,24,23,29,8,15,22,26
"Sbj31_Time4",4,31,9,6,13,13,11,23,21,15,19,17,21,4,8,16,27,24,18,19,12,13,20,29,5,23,17,28,29,18,21,10,12,21,13,22,9,12,8,20,26,26,7,16,25,24,24,21,22,23,20,22
"Sbj32_Time1",1,32,17,15,14,13,5,15,19,11,13,17,14,10,12,12,13,19,20,16,17,14,15,21,20,21,11,21,16,12,15,27,22,16,11,16,20,17,26,12,16,20,15,11,23,16,12,24,17,16,23,21
"Sbj32_Time2",2,32,17,27,27,18,17,15,15,35,12,14,19,22,13,9,16,10,8,19,10,17,25,22,22,27,11,27,22,18,16,23,10,11,14,31,24,13,6,13,26,9,16,14,25,15,22,25,27,24,15,29
"Sbj32_Time3",3,32,15,30,28,18,9,14,10,32,14,9,18,26,11,9,10,9,17,19,10,13,34,26,19,24,7,19,22,21,12,21,10,13,16,26,21,21,16,17,22,8,11,17,19,17,27,34,18,28,15,28
"Sbj32_Time4",4,32,13,29,32,16,17,16,9,35,13,11,22,18,9,16,7,21,16,17,13,19,37,14,22,31,14,25,18,24,13,20,5,10,19,27,23,13,3,18,30,5,14,21,21,14,25,29,17,24,20,28
"Sbj33_Time1",1,33,17,19,12,8,14,10,18,17,13,19,17,13,9,19,22,13,18,11,14,15,13,18,17,10,21,24,14,12,25,10,20,22,15,18,12,16,24,16,21,17,12,23,18,19,13,13,15,20,15,11
"Sbj33_Time2",2,33,16,43,32,76,12,46,49,27,13,31,11,3,40,12,13,53,28,38,24,14,28,10,32,4,11,57,44,30,50,11,40,30,8,45,41,11,14,23,8,56,51,7,29,13,62,10,62,14,17,8
"Sbj33_Time3",3,33,11,48,23,75,14,47,51,23,17,27,9,12,38,12,10,50,36,41,24,11,29,15,40,6,8,62,46,29,50,10,29,24,14,46,35,15,18,27,13,64,52,8,27,15,67,6,65,7,19,17
"Sbj33_Time4",4,33,9,41,30,72,11,46,54,15,10,29,12,9,42,9,12,52,32,40,23,13,33,8,36,14,16,60,48,33,45,14,38,27,10,43,36,15,18,27,7,56,52,11,29,13,69,15,65,5,18,7
"Sbj34_Time1",1,34,13,20,11,17,22,17,13,19,13,16,20,21,17,20,13,15,20,15,17,20,15,19,22,7,14,22,20,14,10,14,17,20,23,18,12,21,15,18,19,16,12,11,26,15,12,23,18,12,20,23
"Sbj34_Time2",2,34,19,14,15,15,23,17,24,28,30,15,15,16,21,20,17,19,23,11,7,32,21,9,28,28,14,12,12,6,8,20,11,11,9,20,16,14,12,11,25,20,13,15,24,22,9,24,14,24,16,9
"Sbj34_Time3",3,34,20,11,9,18,22,18,23,25,39,18,20,15,17,26,14,21,27,13,11,26,25,13,24,26,16,13,16,8,12,25,10,9,13,30,14,19,13,12,16,25,9,20,26,19,7,26,12,23,9,13
"Sbj34_Time4",4,34,24,13,9,16,22,14,22,28,29,18,15,5,18,21,10,28,26,14,4,30,23,14,22,34,10,13,17,10,8,24,10,13,18,26,14,11,15,13,21,35,12,21,24,21,8,27,12,17,22,12
"Sbj35_Time1",1,35,21,15,13,14,19,14,17,12,10,12,11,20,14,19,11,22,12,17,17,16,13,9,14,18,10,10,7,10,20,26,12,20,9,20,14,19,16,22,15,18,15,10,17,11,18,12,19,18,14,23
"Sbj35_Time2",2,35,28,11,48,12,35,18,29,18,39,22,34,10,19,45,47,43,54,30,10,35,44,50,9,10,17,27,10,41,13,39,31,35,23,20,14,20,9,11,12,28,13,13,28,16,20,32,13,27,13,18
