"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj12_Time3",3,12,12,18,14,15,11,32,6,34,10,30,29,29,6,24,30,13,38,14,34,38,46,15,6,26,17,7,18,9,18,13,17,43,38,8,8,37,22,11,26,47,9,20,15,20,40,14,18,36,11,20
"Sbj12_Time4",4,12,9,7,8,19,13,34,7,40,11,32,34,31,11,20,26,13,36,19,33,35,42,9,7,18,21,15,16,12,15,12,13,40,32,7,12,32,31,15,20,44,13,11,8,20,41,7,17,31,14,12
"Sbj13_Time1",1,13,12,16,18,19,18,19,15,15,14,17,15,16,16,18,13,22,12,16,20,10,15,10,11,16,14,18,19,23,15,14,26,11,15,10,14,12,15,18,18,12,12,12,18,18,18,12,14,14,17,8
"Sbj13_Time2",2,13,35,26,26,19,10,34,46,34,18,15,13,30,44,20,10,2,26,22,12,46,10,9,5,8,23,36,3,30,5,11,12,15,9,27,8,16,20,10,14,34,28,39,35,40,23,5,30,14,41,37
"Sbj13_Time3",3,13,32,25,25,18,9,35,48,30,13,20,13,38,44,19,5,10,25,27,6,45,5,7,14,8,27,39,9,39,12,14,9,11,12,26,8,17,21,13,15,39,28,34,38,41,19,2,29,12,35,34
"Sbj13_Time4",4,13,36,25,30,22,12,36,43,40,14,21,12,26,45,14,13,12,22,22,12,44,11,12,3,8,30,40,10,35,11,13,11,11,6,24,7,10,29,13,15,35,32,41,36,39,25,6,31,8,39,31
"Sbj14_Time1",1,14,15,14,18,16,19,14,10,20,16,15,7,19,14,14,16,10,9,16,14,12,20,18,12,13,19,19,8,11,17,22,13,16,15,16,15,13,15,15,21,15,9,19,11,20,14,13,12,24,15,17
"Sbj14_Time2",2,14,12,5,24,17,40,24,40,20,19,28,54,11,28,7,8,12,20,27,16,20,28,13,34,17,37,16,26,7,46,11,38,17,10,9,34,40,23,46,13,12,8,28,26,19,43,25,2,10,19,52
"Sbj14_Time3",3,14,11,13,25,9,45,23,41,15,28,30,50,11,28,6,7,16,25,33,16,16,34,9,37,19,42,13,26,11,41,10,28,8,12,6,29,45,20,35,12,4,6,28,29,18,45,15,10,12,14,49
"Sbj14_Time4",4,14,9,12,27,11,39,31,42,25,18,24,49,13,22,8,5,7,26,26,15,17,31,9,38,10,44,11,23,4,48,6,32,12,12,14,31,46,24,37,10,7,13,17,30,20,49,22,13,15,16,42
"Sbj15_Time1",1,15,17,7,11,16,11,21,15,18,18,18,11,16,9,15,9,14,16,8,16,18,21,10,13,17,17,17,11,20,15,6,13,16,17,11,14,18,18,23,17,20,16,14,7,11,21,20,18,4,10,23
"Sbj15_Time2",2,15,35,20,33,23,33,13,14,11,33,4,35,10,13,6,16,12,29,44,21,12,17,37,10,29,37,24,21,10,9,20,30,21,33,21,15,11,36,22,27,19,12,13,41,12,10,9,41,9,5,12
"Sbj15_Time3",3,15,37,23,31,21,37,4,10,17,35,14,42,10,18,14,12,10,24,42,23,20,20,42,11,30,32,25,17,8,10,16,29,16,27,20,12,10,38,20,24,20,11,17,37,4,12,16,36,10,8,21
"Sbj15_Time4",4,15,38,22,31,24,33,14,9,17,29,7,36,10,14,7,11,8,32,37,18,23,22,40,11,29,34,26,17,15,10,23,31,20,29,17,11,11,40,17,29,20,11,14,43,1,5,10,40,10,4,17
"Sbj16_Time1",1,16,20,13,16,24,15,19,18,22,18,15,17,13,16,16,10,17,14,24,12,17,17,21,24,16,12,11,20,13,15,15,13,9,12,17,15,16,17,15,14,16,13,14,11,20,18,16,17,15,15,13
"Sbj16_Time2",2,16,19,20,23,32,10,30,7,42,15,22,9,20,12,22,18,8,42,6,19,22,10,37,17,22,22,16,26,3,15,16,14,9,11,16,16,29,28,5,10,17,5,12,22,16,20,27,21,38,14,13
"Sbj16_Time3",3,16,20,9,19,29,14,24,16,38,7,22,18,18,15,22,16,10,39,14,22,19,10,32,13,25,30,16,30,9,19,14,16,12,12,13,13,26,39,13,11,15,6,11,31,11,25,23,23,41,14,15
"Sbj16_Time4",4,16,20,22,21,31,12,26,14,45,5,18,10,21,15,26,21,18,39,5,26,16,9,34,17,24,17,15,28,15,12,19,10,11,12,13,17,21,39,16,6,13,9,12,32,13,27,27,23,39,8,10
"Sbj17_Time1",1,17,6,13,13,20,10,9,20,18,23,15,19,16,18,12,18,10,20,13,6,10,19,14,18,14,9,15,16,21,14,10,16,21,15,10,20,23,15,18,22,11,15,16,15,18,19,16,12,10,19,24
"Sbj17_Time2",2,17,21,14,12,8,27,20,35,15,31,25,29,13,9,14,18,35,11,14,4,23,11,13,9,20,21,7,11,9,13,31,21,28,5,14,13,20,6,14,8,15,38,30,13,28,14,16,11,15,29,29
"Sbj17_Time3",3,17,22,8,5,10,25,17,37,9,32,30,23,22,10,15,13,41,17,10,16,35,9,10,12,21,22,16,6,14,12,26,23,31,12,18,15,28,13,7,7,18,41,26,21,31,7,17,9,18,34,23
"Sbj17_Time4",4,17,25,11,11,10,23,18,26,4,31,30,18,17,15,11,17,39,4,12,13,27,13,19,13,21,32,9,7,14,9,32,15,26,9,8,11,28,12,16,12,19,43,31,17,30,11,16,11,20,33,22
"Sbj18_Time1",1,18,18,12,18,10,15,9,25,15,12,14,16,21,11,16,12,16,14,20,23,14,13,20,16,15,14,20,16,24,13,20,20,23,11,16,18,18,4,14,8,18,24,12,9,18,17,13,12,14,10,18
"Sbj18_Time2",2,18,23,28,13,10,27,14,12,7,10,12,28,27,5,28,28,17,9,17,7,5,8,10,12,7,10,8,24,14,13,8,18,17,17,16,24,17,24,13,36,36,24,27,5,25,18,21,23,15,13,14
"Sbj18_Time3",3,18,22,32,11,9,26,12,6,11,15,15,30,27,9,32,27,18,10,23,10,9,11,7,7,11,13,13,20,16,12,10,16,11,13,9,21,19,20,12,39,34,23,21,10,28,20,18,25,10,9,18
"Sbj18_Time4",4,18,26,31,17,6,30,10,12,8,11,14,31,31,8,26,29,17,10,26,6,17,6,6,7,9,13,9,24,22,10,15,14,16,16,18,20,18,20,8,32,37,25,27,8,23,19,18,22,12,8,11
"Sbj19_Time1",1,19,14,11,13,16,19,16,10,12,13,20,13,13,17,15,15,24,10,23,15,9,11,17,9,16,14,21,19,16,12,10,16,11,13,13,15,26,18,21,17,18,17,11,17,19,7,10,9,14,14,21
"Sbj19_Time2",2,19,42,8,35,12,17,14,18,13,9,19,18,39,8,3,10,23,24,37,13,7,35,8,47,43,8,28,25,26,31,10,32,29,8,10,13,9,21,13,42,10,22,44,32,34,24,10,11,15,32,41
"Sbj19_Time3",3,19,35,10,35,8,11,6,14,8,9,9,14,32,10,13,7,17,29,34,10,15,37,6,48,43,7,28,26,25,35,16,28,38,12,8,17,16,23,4,41,12,26,36,29,36,32,9,7,12,34,35
"Sbj19_Time4",4,19,38,14,37,12,11,10,21,8,12,13,14,40,14,13,8,11,26,38,13,7,40,9,46,46,9,31,27,28,28,16,35,32,14,11,2,11,18,15,37,7,20,44,34,39,27,8,8,8,41,37
"Sbj2_Time1",1,2,13,24,19,13,13,10,16,13,26,17,12,25,15,19,26,19,19,14,6,18,12,13,26,14,9,14,14,23,12,12,16,17,13,13,19,20,22,5,13,16,13,13,16,16,11,15,15,12,11,13
"Sbj2_Time2",2,2,25,29,12,4,18,42,13,13,28,9,10,28,22,24,37,10,30,29,13,23,20,15,31,24,38,23,28,17,39,15,48,9,12,30,13,18,19,45,15,46,10,54,9,13,13,33,23,28,6,27
"Sbj2_Time3",3,2,24,26,12,10,14,45,14,12,20,17,8,25,14,22,33,8,24,25,15,20,21,8,35,22,47,24,29,20,42,12,48,15,6,31,11,21,17,49,15,43,8,53,10,11,9,34,19,29,14,28
"Sbj2_Time4",4,2,25,24,10,6,16,41,15,21,18,12,9,26,22,20,31,10,29,20,9,21,22,12,30,27,35,21,29,20,43,16,48,14,8,37,15,21,14,46,12,37,6,49,9,16,13,27,26,30,8,31
"Sbj20_Time1",1,20,18,19,17,22,14,13,14,12,9,8,14,17,12,23,18,14,20,16,19,14,21,9,14,18,7,12,11,16,18,18,12,13,17,11,12,14,14,15,14,16,9,11,15,11,11,18,10,7,12,16
"Sbj20_Time2",2,20,15,46,51,11,30,11,25,18,29,37,54,7,28,14,12,39,7,14,39,42,44,29,15,31,23,30,33,10,10,25,14,13,21,45,13,9,21,23,13,49,6,12,31,9,39,37,12,12,35,30
"Sbj20_Time3",3,20,20,52,51,7,37,9,26,17,30,42,55,11,30,8,12,35,10,19,40,41,39,29,16,31,23,26,29,9,17,31,9,10,16,46,10,11,24,21,16,54,11,12,21,6,47,34,9,13,44,29
"Sbj20_Time4",4,20,20,51,45,14,36,10,19,16,24,35,53,12,26,7,11,35,9,12,29,41,35,25,21,28,27,26,22,18,15,26,12,7,21,44,10,11,20,25,16,59,10,12,22,7,41,36,7,6,37,30
"Sbj21_Time1",1,21,17,9,5,8,13,14,16,19,16,14,17,19,20,16,10,14,18,15,18,14,16,21,16,9,18,20,15,16,11,19,17,17,13,17,20,19,15,15,13,21,17,21,22,12,9,15,13,16,13,13
"Sbj21_Time2",2,21,17,9,17,26,19,13,12,13,23,26,22,19,20,35,29,10,12,6,11,41,25,21,27,8,23,15,33,11,21,20,24,11,26,24,6,17,14,12,21,26,33,19,21,9,16,13,26,13,11,30
"Sbj21_Time3",3,21,15,11,17,22,21,11,20,12,25,22,27,19,21,33,30,14,12,3,14,38,26,20,19,10,29,12,39,12,24,23,26,10,26,26,9,10,12,13,17,28,31,15,12,10,14,14,21,7,13,28
"Sbj21_Time4",4,21,17,20,12,23,12,8,20,16,17,18,20,20,20,33,28,10,12,11,9,39,29,21,25,14,28,10,40,10,30,22,22,10,31,23,12,16,16,14,17,28,34,18,14,9,18,17,30,5,12,28
"Sbj22_Time1",1,22,13,15,12,11,14,7,14,13,12,9,14,13,22,14,18,9,5,21,19,10,12,8,14,16,21,11,19,12,18,17,14,12,15,19,14,10,15,17,14,13,12,9,11,10,20,16,11,18,19,20
"Sbj22_Time2",2,22,27,20,4,15,22,7,8,56,50,9,38,38,4,19,13,15,29,12,8,11,13,15,22,11,18,40,2,32,16,30,63,33,13,33,12,6,25,6,48,47,60,13,20,7,16,24,42,18,40,9
"Sbj22_Time3",3,22,30,33,9,16,23,10,15,54,40,15,31,29,11,20,13,12,31,16,6,5,11,14,24,7,14,40,14,31,17,29,71,31,16,37,13,8,22,11,53,43,68,13,26,15,17,20,40,12,46,11
"Sbj22_Time4",4,22,28,30,14,12,20,9,13,57,43,11,39,40,12,12,8,18,29,21,13,5,5,6,26,3,11,37,6,28,15,21,61,26,18,31,10,10,25,8,42,44,65,14,17,9,17,21,40,14,39,11
"Sbj23_Time1",1,23,16,23,15,15,15,7,9,16,23,9,19,15,18,12,23,12,19,20,17,14,13,19,16,19,10,21,13,22,13,5,12,8,10,11,10,13,15,21,11,16,22,13,14,14,9,14,18,15,14,19
"Sbj23_Time2",2,23,14,16,12,8,13,19,24,7,15,33,10,29,9,30,20,27,31,28,6,12,29,32,28,15,32,34,14,22,32,11,15,15,32,9,32,16,15,15,14,9,14,20,31,13,34,16,24,12,14,24
"Sbj23_Time3",3,23,7,26,13,13,12,23,23,9,7,36,11,32,11,26,26,20,40,31,14,13,33,27,21,21,41,30,6,23,31,12,16,19,24,11,30,7,14,15,16,8,17,16,34,8,31,7,25,18,11,26
"Sbj23_Time4",4,23,13,22,12,13,16,23,25,9,9,32,12,35,14,30,29,25,35,28,14,17,36,40,21,22,36,29,13,32,27,14,23,15,27,12,30,13,14,14,11,15,15,16,38,12,30,15,24,19,12,31
"Sbj24_Time1",1,24,23,20,15,4,16,14,17,23,20,21,17,10,13,11,18,19,9,19,20,18,12,13,15,19,16,19,12,14,19,18,23,19,18,14,17,3,19,9,9,7,21,14,16,14,13,17,14,20,18,18
"Sbj24_Time2",2,24,19,23,15,31,17,16,15,6,15,31,23,15,17,18,6,21,35,14,12,28,13,17,11,18,29,21,9,31,38,17,14,20,25,8,15,16,20,18,11,6,21,26,10,44,20,13,10,7,25,26
"Sbj24_Time3",3,24,27,25,14,28,10,17,20,12,11,31,26,20,17,19,11,25,36,20,12,32,18,7,14,12,22,15,13,25,34,18,25,22,29,9,11,12,22,17,6,12,18,21,7,47,18,13,4,12,25,23
"Sbj24_Time4",4,24,27,25,13,26,15,24,17,3,14,26,19,19,20,18,9,28,33,23,4,34,12,11,11,15,26,16,7,22,36,13,20,20,23,12,12,11,16,16,13,17,13,20,11,42,18,24,13,14,25,26
"Sbj25_Time1",1,25,8,10,14,8,11,17,9,16,21,17,18,18,18,19,14,23,23,18,18,16,22,20,17,17,23,15,13,8,12,14,16,18,10,20,17,21,17,18,3,22,14,16,7,16,17,11,18,20,19,13
"Sbj25_Time2",2,25,31,17,9,25,16,6,32,14,12,13,12,27,25,33,10,7,23,18,14,10,16,6,18,23,28,9,28,18,29,21,6,34,19,25,17,26,30,6,10,15,5,25,33,6,20,14,28,20,21,12
"Sbj25_Time3",3,25,30,20,16,20,19,10,31,13,18,15,9,23,20,30,15,3,22,17,21,4,20,5,13,18,33,9,22,17,22,15,12,40,12,29,12,30,30,13,15,12,10,24,29,5,20,12,29,21,21,9
"Sbj25_Time4",4,25,28,22,13,21,18,12,36,10,9,11,10,26,24,25,9,8,26,19,17,15,20,13,11,23,26,10,22,18,23,13,6,32,17,29,15,31,32,6,4,19,4,25,33,10,19,12,22,25,22,18
"Sbj26_Time1",1,26,7,19,17,11,23,20,20,8,23,12,15,15,17,12,15,12,15,15,16,15,18,13,18,15,12,24,19,4,17,15,12,19,8,13,14,11,21,14,18,10,16,13,12,12,17,9,20,12,23,6
"Sbj26_Time2",2,26,6,11,20,17,7,21,16,10,32,20,21,18,22,14,4,26,5,22,16,9,10,13,11,15,16,27,20,6,22,21,24,18,15,28,28,22,15,9,25,22,12,5,19,26,21,20,20,7,12,16
"Sbj26_Time3",3,26,5,7,17,16,12,22,23,18,22,23,21,20,23,11,4,27,7,19,23,13,16,12,11,14,23,27,26,9,19,23,28,18,14,18,28,18,24,15,23,18,19,14,18,25,27,23,17,16,9,11
"Sbj26_Time4",4,26,13,14,21,14,8,15,14,16,26,22,18,20,20,13,10,28,12,18,23,15,9,14,8,19,18,27,27,8,22,17,30,21,17,23,27,23,16,11,24,28,13,13,18,24,16,15,15,10,13,13
"Sbj27_Time1",1,27,12,19,13,8,16,16,23,14,18,22,20,14,13,16,16,15,13,9,16,19,13,8,13,10,22,18,9,15,8,16,13,16,11,12,20,22,15,19,16,13,22,13,15,13,13,10,20,12,11,17
"Sbj27_Time2",2,27,8,22,8,12,15,27,21,14,11,14,4,22,19,14,21,15,12,18,30,9,7,18,17,18,20,12,9,17,19,15,16,30,23,4,4,11,11,12,23,16,26,16,21,19,14,12,24,33,9,17
"Sbj27_Time3",3,27,9,24,8,11,12,21,24,22,16,16,9,17,17,12,23,20,17,16,27,12,11,18,20,17,16,15,7,17,24,15,17,21,26,8,9,8,14,14,25,14,23,19,25,20,5,10,10,32,24,12
"Sbj27_Time4",4,27,12,21,11,10,5,25,18,25,15,21,5,15,15,7,15,9,13,16,20,19,11,14,22,10,22,8,6,15,21,12,16,26,24,12,9,8,10,21,18,9,20,24,27,19,14,8,11,29,17,17
"Sbj28_Time1",1,28,21,10,23,15,18,20,10,14,12,14,14,14,19,15,17,15,17,15,16,10,17,18,19,11,9,17,11,10,14,17,7,25,10,12,13,14,11,16,18,14,7,20,13,13,20,16,9,15,21,9
"Sbj28_Time2",2,28,29,22,40,29,59,13,40,10,79,23,58,9,10,24,74,6,8,72,16,13,64,74,12,21,14,57,49,11,6,14,41,46,25,6,13,9,29,90,56,14,19,96,9,14,15,85,12,63,62,10
"Sbj28_Time3",3,28,31,22,39,32,62,18,45,7,79,23,53,14,6,18,75,6,9,70,15,11,62,71,6,17,15,59,49,8,6,15,33,48,29,10,15,9,25,89,45,12,15,102,9,12,24,80,12,64,54,13
"Sbj28_Time4",4,28,34,21,40,35,50,15,45,9,75,27,55,9,18,15,75,7,12,69,12,8,65,71,11,16,10,55,46,8,11,6,40,48,23,4,15,9,24,97,48,12,22,96,10,13,23,83,8,62,61,11
"Sbj29_Time1",1,29,13,17,16,18,9,15,15,17,16,21,20,13,12,13,9,8,9,13,12,16,14,15,22,18,19,21,18,10,19,9,21,22,17,13,10,13,12,15,23,17,13,16,12,12,18,12,17,23,16,14
"Sbj29_Time2",2,29,5,1,31,24,16,107,68,4,33,32,28,74,46,11,10,22,44,56,5,27,13,6,31,79,7,53,37,54,2,37,55,44,32,19,57,8,58,113,13,88,78,6,11,35,65,12,33,17,11,19
"Sbj29_Time3",3,29,10,12,30,22,21,106,64,7,29,32,26,71,50,12,9,18,41,47,11,33,7,16,29,80,7,53,43,56,9,43,60,45,39,26,55,10,61,110,22,90,76,13,12,36,65,15,35,12,7,24
"Sbj29_Time4",4,29,10,9,33,23,20,109,62,10,26,34,23,75,46,8,11,15,37,51,12,27,11,7,28,79,7,53,41,55,8,41,58,48,38,23,56,10,57,103,24,91,72,8,15,35,73,10,32,4,12,19
"Sbj3_Time1",1,3,13,20,17,17,14,21,21,13,14,15,15,19,12,23,14,11,12,15,10,12,15,20,16,13,10,22,8,14,8,11,20,21,14,15,18,16,12,15,13,20,21,10,12,19,12,14,16,17,12,7
"Sbj3_Time2",2,3,116,14,65,8,12,5,53,164,35,10,131,5,5,43,150,11,96,34,6,29,8,9,70,69,86,9,10,109,73,11,52,127,74,86,113,31,10,12,70,90,18,9,74,14,11,58,11,64,152,13
"Sbj3_Time3",3,3,109,23,56,9,5,14,54,168,38,10,130,3,16,46,153,14,102,33,12,20,10,8,70,61,84,14,9,109,73,7,46,124,70,89,111,24,4,5,69,83,9,8,70,15,12,62,11,66,158,11
"Sbj3_Time4",4,3,112,15,65,9,11,11,59,165,30,14,130,8,9,42,156,12,100,26,5,25,16,8,77,69,85,12,4,103,76,12,55,124,76,93,111,29,16,12,73,86,9,8,71,7,11,59,14,69,157,8
"Sbj30_Time1",1,30,14,15,11,23,8,25,9,21,18,16,23,15,17,19,19,23,11,6,9,11,17,12,14,16,9,14,15,10,12,23,12,10,12,7,12,20,10,10,21,13,15,12,15,22,17,17,13,8,16,17
"Sbj30_Time2",2,30,36,66,36,61,45,73,16,7,28,10,37,63,69,7,63,51,9,14,17,16,38,31,13,9,39,16,46,33,35,49,22,24,9,5,21,21,6,68,37,29,11,49,53,40,9,18,15,45,6,12
"Sbj30_Time3",3,30,39,61,41,57,40,71,17,9,29,10,32,69,71,15,60,57,9,20,19,15,32,25,11,11,44,7,53,27,37,48,25,23,5,13,21,19,14,69,39,36,13,48,55,40,12,19,10,47,10,11
"Sbj30_Time4",4,30,39,61,41,60,41,75,22,14,39,11,42,56,70,3,54,61,9,15,15,17,36,31,14,7,42,12,55,27,38,50,19,22,13,10,21,12,12,73,41,37,12,47,54,38,20,14,13,45,10,8
"Sbj31_Time1",1,31,15,16,16,12,8,18,11,13,18,19,14,20,14,13,11,14,9,9,15,23,18,16,20,11,10,22,15,14,8,8,19,11,19,16,16,18,17,17,15,15,16,13,16,12,9,15,16,21,21,21
"Sbj31_Time2",2,31,9,11,12,4,11,23,20,9,20,16,12,14,12,18,23,24,15,18,15,8,18,27,5,21,16,20,24,22,21,6,11,16,6,24,18,14,8,17,22,27,13,13,21,23,15,28,15,16,15,19
"Sbj31_Time3",3,31,13,8,13,12,12,25,13,20,16,10,26,6,7,15,22,22,19,16,15,3,16,27,7,25,18,27,29,20,16,11,14,24,5,21,11,6,13,15,22,22,10,19,22,23,22,28,8,15,21,25
"Sbj31_Time4",4,31,9,5,12,12,10,22,20,14,18,16,20,4,7,15,26,23,17,18,11,12,19,28,4,22,17,27,28,17,20,9,11,20,13,21,9,11,7,19,25,25,6,15,24,23,23,20,21,22,20,21
"Sbj32_Time1",1,32,17,14,14,13,5,14,18,10,12,16,14,9,11,11,13,19,19,15,16,13,14,20,19,20,10,20,15,11,14,26,21,15,10,15,19,16,25,11,15,19,15,10,22,15,11,23,16,15,22,20
"Sbj32_Time2",2,32,16,26,26,17,16,14,14,34,11,13,18,21,12,9,15,9,7,18,9,16,24,21,21,26,10,26,21,18,15,22,9,10,14,30,23,12,5,12,25,8,16,13,24,14,21,24,26,23,14,28
"Sbj32_Time3",3,32,14,29,27,17,9,13,9,31,13,9,17,25,11,8,9,8,16,18,9,13,33,25,18,24,6,18,21,20,12,20,9,13,15,25,21,20,15,16,22,8,10,16,18,16,26,33,17,27,14,27
"Sbj32_Time4",4,32,12,28,31,15,16,15,8,35,12,10,21,17,8,15,6,20,15,16,12,18,36,13,21,30,13,24,17,23,12,19,4,9,18,26,22,12,2,17,29,4,13,21,20,13,24,28,16,23,19,28
"Sbj33_Time1",1,33,16,18,11,7,13,9,18,17,13,19,16,12,8,18,21,12,17,10,13,14,12,17,16,9,20,24,13,11,24,9,19,21,14,17,11,15,23,15,20,16,11,22,17,18,12,12,14,19,14,10
"Sbj33_Time2",2,33,16,42,32,75,11,46,48,26,12,31,10,2,39,11,12,52,27,37,23,13,27,9,32,3,10,57,43,29,49,10,39,29,7,44,40,10,14,22,7,55,51,6,28,12,61,9,61,13,16,7
"Sbj33_Time3",3,33,10,47,23,74,13,46,50,22,16,26,8,11,37,11,9,49,35,40,23,10,28,14,39,5,7,61,45,28,49,10,28,23,13,45,34,14,17,26,12,63,51,7,26,14,67,5,64,6,18,16
"Sbj33_Time4",4,33,8,40,29,71,10,45,53,14,10,28,11,8,42,8,11,51,31,39,22,12,32,7,35,13,15,59,48,32,44,13,38,26,9,42,35,14,17,26,6,55,51,10,28,12,68,15,64,5,17,6
"Sbj34_Time1",1,34,12,19,10,16,21,16,12,18,12,15,19,20,16,19,12,14,20,14,16,19,14,18,21,6,13,21,19,13,9,13,16,19,22,17,11,20,14,17,18,15,11,10,25,14,11,22,17,12,19,23
"Sbj34_Time2",2,34,18,13,14,14,22,16,23,27,29,14,14,15,20,19,16,18,22,10,6,31,20,8,27,27,13,12,12,5,7,19,10,10,8,20,15,14,12,10,24,19,12,14,23,21,8,23,13,23,15,8
"Sbj34_Time3",3,34,19,11,8,18,21,17,22,24,38,17,19,14,16,25,14,20,26,12,10,25,25,13,23,25,15,12,15,7,11,24,9,8,12,29,13,18,13,11,15,24,8,19,25,18,6,25,11,22,8,12
"Sbj34_Time4",4,34,23,12,8,15,21,13,21,27,28,17,14,4,17,20,9,27,25,14,3,29,22,13,21,33,9,12,16,9,7,23,9,12,17,25,13,10,14,12,20,34,11,21,23,20,7,26,12,17,21,11
"Sbj35_Time1",1,35,20,14,12,13,18,13,16,11,9,11,10,19,13,18,10,21,11,16,17,15,12,8,13,17,9,9,6,9,19,25,11,19,9,19,13,18,16,21,14,17,14,9,16,10,17,11,18,17,13,22
"Sbj35_Time2",2,35,28,10,47,11,34,17,28,17,38,21,33,9,18,45,46,42,53,29,9,34,43,49,9,9,16,26,9,40,12,38,30,34,22,19,13,19,9,11,11,27,12,12,27,16,19,31,12,27,12,17
"Sbj35_Time3",3,35,34,7,48,18,23,8,31,14,34,23,35,8,11,52,48,31,46,29,1,36,39,47,10,6,9,25,16,31,14,44,34,30,21,22,8,14,12,22,9,24,9,12,26,13,20,34,7,32,5,17
"Sbj35_Time4",4,35,25,14,51,9,30,14,29,15,43,26,44,8,2,43,40,32,51,39,13,30,42,49,9,8,16,24,5,37,10,50,31,30,19,15,11,14,12,11,10,25,11,11,26,19,19,36,12,23,7,14
"Sbj36_Time1",1,36,15,19,19,17,15,15,19,17,18,19,20,10,15,9,14,14,20,13,12,15,6,14,16,13,14,13,15,18,22,24,18,13,14,19,21,8,7,12,17,11,20,17,15,5,15,16,26,12,20,9
"Sbj36_Time2",2,36,22,17,12,35,21,36,34,23,18,45,20,19,13,36,15,13,31,38,20,39,12,13,21,25,55,68,11,9,28,32,29,11,19,24,36,39,20,54,19,19,17,37,52,7,38,8,12,16,28,26
