"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj17_Time3",3,17,34,35,17,24,30,9,25,14,12,10,14,15,38,18,24,14,40,10,17,8,28,25,14,17,25,20,37,12,14,13,19,18,13,25,22,44,23,25,31,18,27,22,20,27,12,29,27,15,15,34,15,22,12,9,18,31,15,37,51,31,28,25,22,25,18,22,18,20,14,26,28,13,17,28,8,15,26,31,25,38,22,14,42,30,19,12,11,35,20,34,21,16,13,11,19,23,24,23,7,24
"Sbj17_Time4",4,17,33,21,11,20,32,9,23,13,17,16,11,11,34,15,19,15,37,14,10,17,31,17,18,13,26,15,30,13,16,12,21,22,19,26,17,40,25,20,31,12,22,26,22,28,20,23,24,17,16,32,18,18,13,11,25,28,23,33,51,34,25,18,17,24,16,29,12,14,15,21,31,14,17,29,11,14,17,32,27,34,16,12,42,23,22,12,13,37,21,31,26,15,17,19,26,18,19,27,18,21
"Sbj18_Time1",1,18,13,27,20,15,20,20,17,17,27,18,28,14,16,20,21,22,20,10,19,13,12,19,9,22,15,14,16,22,22,26,27,17,22,14,19,16,15,31,27,18,12,23,19,14,15,17,18,11,16,27,17,18,17,12,25,19,23,20,20,16,15,15,20,16,23,17,20,21,21,21,16,18,12,18,13,13,17,27,15,13,25,6,25,27,19,21,21,22,20,11,12,14,15,11,15,18,14,9,22,20
"Sbj18_Time2",2,18,34,17,24,34,11,106,10,31,12,87,49,29,33,42,6,16,55,25,15,31,17,11,16,57,11,10,10,15,19,29,17,18,17,31,33,22,51,12,24,33,90,14,15,34,17,39,39,15,14,34,79,13,21,35,12,23,55,38,23,42,9,34,23,42,11,59,10,17,26,54,17,22,10,50,36,29,13,71,15,4,55,58,43,42,80,30,12,8,74,13,13,13,28,55,46,51,15,34,18,25
"Sbj18_Time3",3,18,26,14,19,37,17,106,11,29,13,89,55,34,30,38,15,13,56,20,10,34,14,14,15,52,14,13,11,6,15,29,14,14,20,31,30,21,52,16,32,39,87,14,17,30,14,43,33,16,17,31,76,8,11,30,16,20,54,33,22,35,13,31,27,42,12,54,14,19,16,64,18,14,12,58,35,30,7,73,10,14,49,48,46,48,82,35,17,14,70,18,21,13,27,55,43,50,15,30,18,20
"Sbj18_Time4",4,18,29,23,22,41,10,101,14,21,11,88,53,27,29,43,11,11,56,27,14,30,13,7,13,61,20,18,12,13,19,31,19,17,18,31,35,27,52,16,23,29,86,14,16,28,12,46,43,20,12,30,77,14,17,28,6,24,57,38,24,39,8,26,28,44,15,59,17,22,15,59,16,11,11,58,33,32,13,76,15,15,52,55,41,47,75,25,12,10,71,20,18,16,25,54,46,53,8,37,15,25
"Sbj19_Time1",1,19,25,18,14,19,19,19,17,19,14,23,16,20,21,14,14,23,16,14,16,22,14,20,18,23,16,16,19,18,27,15,16,14,25,18,16,20,21,17,15,20,20,11,11,26,19,24,18,17,15,20,23,16,18,19,19,24,15,9,22,18,23,13,17,22,16,22,22,19,16,16,15,15,22,18,16,19,21,11,28,26,21,18,24,26,12,12,16,23,24,15,21,14,18,20,21,21,16,19,21,14
"Sbj19_Time2",2,19,64,13,34,19,17,55,21,13,11,41,13,18,35,14,24,21,24,15,25,37,47,34,12,10,26,35,15,16,19,17,15,8,46,17,37,16,22,17,22,10,15,28,23,54,15,24,28,62,44,38,15,19,27,32,45,39,16,38,12,17,40,13,15,27,19,21,11,32,48,21,33,15,12,24,16,7,43,20,66,28,13,30,31,25,34,22,9,53,18,12,12,18,16,15,13,51,36,39,14,7
"Sbj19_Time3",3,19,64,14,43,23,13,50,16,15,13,43,18,14,38,12,25,22,22,12,25,39,44,33,9,21,32,42,10,15,26,14,15,17,48,10,33,20,14,18,25,15,13,32,25,51,20,22,32,57,47,33,16,20,24,33,42,39,13,28,13,13,42,9,22,31,22,14,8,37,49,23,30,12,13,23,11,19,44,22,60,31,19,36,33,30,29,15,18,44,16,15,12,19,14,13,11,60,37,44,12,11
"Sbj19_Time4",4,19,62,13,42,19,10,55,22,14,11,36,14,11,38,13,16,32,20,10,21,40,47,38,16,19,29,31,10,14,23,10,16,13,51,10,36,20,17,19,21,14,19,25,27,54,21,21,30,66,39,37,13,15,23,27,36,41,17,28,11,15,36,17,25,33,18,21,10,34,51,26,26,13,14,25,18,10,35,20,64,32,18,36,33,27,30,19,13,46,11,13,11,24,12,11,11,61,39,36,18,16
"Sbj2_Time1",1,2,22,23,25,14,24,18,9,15,16,12,18,15,16,14,30,19,24,21,17,25,17,15,18,15,23,15,16,17,15,20,11,18,17,26,21,22,18,21,19,17,14,19,16,22,14,12,20,14,20,24,12,17,13,23,17,24,24,22,16,6,14,16,21,20,17,19,15,7,14,14,23,13,19,25,13,24,21,20,15,16,20,16,15,17,22,19,18,23,10,18,20,22,20,19,24,11,23,18,13,22
"Sbj2_Time2",2,2,25,16,20,9,11,27,35,23,35,17,7,28,28,46,37,29,7,35,24,16,14,26,30,40,11,12,15,16,40,12,22,6,18,14,45,27,13,37,34,13,29,10,12,21,12,34,19,19,34,18,17,9,17,30,34,19,15,25,21,41,17,21,15,22,25,20,17,13,17,25,12,19,32,17,17,17,29,35,11,23,15,24,12,53,13,48,20,24,19,20,19,19,35,21,11,19,20,19,15,14
"Sbj2_Time3",3,2,31,17,24,14,15,31,41,26,26,11,17,27,30,41,42,31,16,33,21,22,9,22,33,39,14,9,18,16,45,15,18,7,14,10,39,33,24,30,40,7,24,11,14,21,9,31,20,14,34,23,19,10,10,25,31,15,14,20,14,36,15,27,15,19,20,20,13,23,14,34,15,20,31,20,23,15,26,31,19,26,19,25,13,51,10,47,19,26,20,17,28,18,34,19,19,13,23,16,11,15
"Sbj2_Time4",4,2,26,11,21,16,12,21,30,32,31,9,17,28,32,43,42,36,11,30,24,18,19,28,33,40,10,14,14,10,43,15,29,17,16,14,41,31,21,33,39,13,30,17,17,22,14,32,16,13,38,19,20,16,15,29,36,11,13,29,20,41,19,30,10,19,21,27,11,14,10,32,18,16,34,22,22,16,23,28,8,24,17,23,19,51,18,44,12,25,16,11,25,17,36,24,20,11,22,18,13,18
"Sbj20_Time1",1,20,13,21,16,17,21,16,22,17,19,29,13,16,22,28,21,18,18,21,17,21,22,18,24,23,26,19,10,18,18,23,21,21,23,24,11,21,17,21,18,17,18,15,12,16,16,23,23,11,19,20,13,15,19,24,19,15,16,25,14,23,16,16,20,24,14,16,17,23,22,15,19,22,21,24,17,20,17,19,13,22,16,17,18,13,23,19,20,22,22,17,24,17,14,10,27,21,24,16,21,20
"Sbj20_Time2",2,20,18,13,14,18,41,21,41,45,48,32,15,13,17,28,44,6,13,23,15,32,24,34,48,33,17,16,21,40,16,26,27,11,13,25,13,13,14,15,9,19,32,33,15,17,14,13,56,17,34,15,20,23,8,13,17,17,25,17,18,17,18,19,26,13,13,16,18,49,12,13,36,35,20,17,38,14,31,21,39,43,34,29,33,38,22,42,24,18,45,13,26,27,25,44,19,29,22,35,11,35
"Sbj20_Time3",3,20,18,16,18,16,42,21,48,42,43,30,16,14,12,23,42,14,14,22,17,29,15,42,48,36,18,18,23,38,18,27,27,9,13,25,12,13,14,17,11,12,26,32,11,16,9,12,55,10,31,9,14,20,10,9,19,18,26,16,17,19,23,19,34,12,26,14,22,50,14,15,39,38,12,14,37,25,40,14,35,41,25,28,38,36,24,44,29,16,49,12,28,28,19,45,14,32,19,29,12,29
"Sbj20_Time4",4,20,19,12,17,19,46,20,41,41,41,28,14,7,16,20,43,21,12,24,14,30,20,38,47,34,11,9,24,41,11,24,27,9,16,27,13,13,19,17,17,17,28,37,13,12,18,13,53,10,36,14,12,21,14,9,14,13,24,16,22,22,16,11,30,16,21,11,23,50,8,9,38,41,13,15,33,24,40,6,37,42,30,24,33,33,26,46,24,19,43,9,31,28,29,50,19,27,19,31,14,25
"Sbj21_Time1",1,21,24,24,22,15,16,12,27,23,13,22,13,19,22,13,18,16,23,13,19,23,21,15,7,14,27,6,21,22,22,13,13,17,10,18,17,23,18,20,14,13,14,13,24,19,22,21,19,16,16,20,21,18,11,21,15,22,18,18,17,21,20,12,15,14,20,23,21,21,18,19,19,14,23,14,10,18,22,20,10,21,24,16,18,22,12,15,21,17,20,26,22,19,26,23,17,20,23,17,16,21
"Sbj21_Time2",2,21,84,14,35,67,12,19,33,10,54,64,66,10,30,9,14,43,49,66,13,11,19,15,59,19,19,38,139,59,14,24,17,49,16,24,23,17,42,59,82,80,9,34,14,15,16,30,14,96,23,38,27,36,12,14,44,25,15,19,55,19,17,71,45,13,60,12,53,17,26,11,87,13,70,10,32,13,25,21,71,31,34,20,10,9,25,75,89,23,14,15,47,9,54,57,11,15,31,17,83,96
"Sbj21_Time3",3,21,89,19,34,69,13,22,36,14,53,63,71,14,23,15,11,38,51,70,12,12,14,13,62,23,15,33,135,60,12,23,19,48,14,31,26,18,41,65,76,79,18,33,20,13,12,37,13,95,29,39,29,38,16,18,46,27,15,17,59,20,21,68,38,11,57,11,45,18,26,15,89,11,76,12,31,12,26,29,74,49,31,17,15,21,30,80,92,28,9,19,54,11,58,53,12,16,33,20,85,92
"Sbj21_Time4",4,21,85,15,37,68,16,27,34,9,50,63,67,16,30,9,17,44,53,73,15,12,13,9,60,19,12,27,129,55,14,21,16,43,15,32,25,15,42,67,80,82,14,38,17,13,13,39,17,91,27,40,25,41,17,14,34,26,16,12,60,24,14,73,40,11,65,14,51,14,25,15,85,11,72,10,33,13,18,22,70,34,39,14,13,11,20,81,84,31,11,17,52,11,61,55,15,13,31,18,85,92
"Sbj22_Time1",1,22,10,22,11,23,21,17,22,21,13,16,15,13,16,18,16,17,22,19,17,22,14,16,19,17,11,22,20,22,20,22,17,13,16,16,16,19,25,19,13,23,22,19,23,20,15,16,22,21,21,16,21,20,19,13,21,15,18,13,16,12,22,18,21,22,20,20,18,22,10,19,14,20,17,26,24,18,16,20,22,19,13,20,17,20,18,19,15,18,17,22,16,17,23,21,18,16,19,20,17,27
