"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj13_Time3",3,13,0,15,5,15,9,37,9,15,19,14,11,6,9,16,23,28,7,20,5,27,8,16,11,18,12,18,25,7,23,9,16,15,18,24,38,18,5,23,14,30,17,19,18,19,15,8,7,25,24,25,5
"Sbj13_Time4",4,13,0,18,13,16,14,35,12,21,19,18,10,11,11,26,34,34,11,20,9,25,19,16,20,19,12,24,24,7,18,11,16,21,15,27,41,17,10,20,22,31,15,20,19,19,8,10,13,27,22,33,12
"Sbj14_Time1",1,14,0,17,15,14,16,12,14,14,13,19,13,18,15,12,19,16,19,11,23,19,15,24,23,12,17,14,18,16,12,17,19,17,14,13,15,19,10,18,25,15,11,6,20,17,9,16,15,21,22,13,20
"Sbj14_Time2",2,14,0,19,8,13,8,30,29,15,25,18,20,18,16,17,34,22,15,16,20,27,11,22,12,30,18,21,22,11,13,13,19,16,17,33,29,16,10,18,16,26,25,18,25,6,19,16,9,19,22,28,15
"Sbj14_Time3",3,14,0,22,8,17,9,26,19,20,20,23,17,20,13,8,26,17,19,17,18,24,10,23,9,28,19,17,23,12,21,14,15,22,20,24,28,11,14,15,18,27,18,18,25,11,22,1,12,15,23,24,14
"Sbj14_Time4",4,14,0,25,13,20,11,29,18,15,21,22,23,15,13,8,31,14,20,17,20,27,8,25,7,29,20,19,29,10,16,10,20,20,13,31,30,18,11,16,20,24,22,11,26,12,19,11,19,16,25,24,13
"Sbj15_Time1",1,15,0,11,8,14,15,12,29,20,4,16,17,14,12,22,13,17,17,19,15,9,20,17,7,18,19,12,17,15,14,21,15,17,10,25,19,14,6,17,18,16,15,19,23,19,15,19,15,21,15,22,19
"Sbj15_Time2",2,15,0,21,11,8,14,22,18,15,25,13,18,8,11,28,22,10,20,24,12,18,21,16,11,20,8,31,14,8,23,22,12,9,20,19,27,15,11,22,19,24,15,14,11,17,22,16,9,16,30,26,15
"Sbj15_Time3",3,15,0,19,11,16,12,27,22,19,37,15,14,15,12,27,19,16,18,24,15,21,14,20,9,20,16,27,16,16,16,15,21,14,23,28,26,8,9,18,19,20,11,16,8,14,30,13,2,20,31,17,12
"Sbj15_Time4",4,15,0,21,8,15,9,19,22,15,30,20,14,10,10,26,24,14,30,19,16,15,10,13,11,26,14,26,16,11,10,23,13,10,19,23,22,15,12,11,18,18,20,9,18,13,17,16,13,22,24,18,13
"Sbj16_Time1",1,16,0,17,23,17,8,16,19,15,18,17,12,17,18,19,16,15,18,23,13,12,17,12,16,13,23,12,8,18,12,20,20,15,19,24,19,18,16,22,9,21,26,12,22,17,15,18,12,16,15,14,15
"Sbj16_Time2",2,16,0,19,7,12,7,22,18,10,29,16,10,23,10,14,29,18,21,21,23,12,13,24,12,18,11,20,6,12,14,22,17,14,23,34,25,14,6,15,25,28,25,3,15,11,27,16,14,12,16,22,9
"Sbj16_Time3",3,16,0,19,12,8,9,21,18,7,22,19,13,23,15,14,22,21,20,15,18,16,16,25,9,20,13,19,13,11,12,15,20,15,17,30,23,10,15,17,28,28,24,11,20,18,23,8,14,17,21,23,11
"Sbj16_Time4",4,16,0,22,11,3,8,23,13,8,26,15,10,23,6,10,27,18,13,23,21,17,17,24,10,16,12,21,14,12,13,10,22,15,23,30,23,11,8,22,27,24,25,10,19,16,24,18,8,14,24,23,9
"Sbj17_Time1",1,17,0,17,10,15,24,15,18,11,14,18,13,10,17,23,14,21,11,17,19,15,15,11,14,13,18,12,11,13,18,10,20,19,23,18,18,14,12,18,16,17,16,18,17,14,18,25,8,18,18,14,7
"Sbj17_Time2",2,17,0,26,8,8,14,27,20,19,24,18,14,14,24,15,29,18,27,18,16,17,20,23,17,22,12,24,29,9,25,14,31,13,15,26,32,9,11,24,29,28,19,8,17,12,17,8,9,16,32,32,10
"Sbj17_Time3",3,17,0,31,6,8,12,26,16,23,21,17,13,13,21,21,30,19,20,22,22,22,20,27,21,22,7,26,30,13,21,6,32,16,16,32,36,13,6,23,28,27,15,11,18,12,23,9,13,12,28,27,12
"Sbj17_Time4",4,17,0,35,9,12,9,24,25,18,26,15,13,14,19,21,19,25,20,18,22,15,19,20,9,22,8,27,32,19,26,19,24,8,21,24,30,12,9,23,28,30,22,14,20,4,19,5,12,13,33,29,16
"Sbj18_Time1",1,18,0,24,18,12,6,19,20,9,21,20,15,17,14,16,18,13,18,22,18,13,7,19,12,19,12,20,11,14,12,18,12,14,13,18,6,24,8,24,17,21,14,14,11,22,12,14,22,13,10,9,14
"Sbj18_Time2",2,18,0,19,14,13,6,29,16,18,19,16,15,15,11,19,31,22,24,27,21,19,11,28,27,27,8,14,23,14,12,18,27,14,17,27,39,18,8,14,27,22,12,13,29,20,12,17,8,34,28,27,21
"Sbj18_Time3",3,18,0,19,11,17,12,23,17,14,17,24,10,16,16,15,33,18,28,27,26,16,13,35,27,32,7,12,30,15,22,24,27,13,11,28,33,20,12,9,27,22,12,17,27,17,6,18,7,23,33,27,14
"Sbj18_Time4",4,18,0,17,9,16,15,25,14,12,15,21,8,18,14,26,23,19,23,27,22,12,6,34,28,31,11,15,28,10,21,13,24,16,11,28,35,21,6,12,22,20,19,17,29,19,10,14,17,21,31,30,22
"Sbj19_Time1",1,19,0,25,10,21,14,10,11,9,13,13,11,20,4,19,18,21,11,5,18,17,23,14,24,10,20,15,13,9,11,15,19,15,14,9,15,14,23,11,10,21,16,12,12,12,15,15,15,25,13,20,14
"Sbj19_Time2",2,19,0,19,12,14,12,25,14,11,21,19,26,27,24,21,32,22,19,24,26,20,13,27,22,39,12,29,22,10,29,19,20,22,24,32,30,17,18,18,22,22,15,18,15,20,13,11,10,22,24,25,13
"Sbj19_Time3",3,19,0,27,12,16,12,21,21,10,18,18,21,23,16,17,30,25,14,20,24,25,8,30,14,37,11,29,24,6,32,18,15,24,29,26,28,6,19,13,18,19,15,26,19,16,16,10,13,18,24,21,18
"Sbj19_Time4",4,19,0,27,12,14,12,31,16,10,25,23,22,21,22,18,29,25,15,22,28,20,11,31,11,39,7,23,25,13,26,15,18,23,25,31,29,11,17,16,23,18,18,30,13,17,9,15,10,19,26,22,9
"Sbj2_Time1",1,2,0,13,7,12,11,9,17,11,7,18,8,11,23,20,16,15,9,19,12,16,18,12,19,27,16,13,16,10,19,5,14,12,13,9,10,15,9,19,21,19,25,20,14,15,19,20,15,13,11,14,16
"Sbj2_Time2",2,2,0,27,14,13,9,18,22,24,14,28,10,20,25,13,34,25,21,24,18,13,16,24,25,18,20,14,35,3,33,15,33,10,13,35,40,16,9,10,23,25,18,15,17,18,8,13,9,19,14,29,8
"Sbj2_Time3",3,2,0,23,11,17,9,24,19,18,6,25,9,14,28,22,30,19,22,24,23,17,14,23,29,23,15,16,28,6,27,16,29,8,14,30,44,20,13,13,20,23,13,14,21,12,8,16,12,18,21,22,7
"Sbj2_Time4",4,2,0,25,9,9,9,15,21,22,17,25,7,20,22,18,32,24,19,24,18,14,9,29,20,19,12,21,29,15,29,14,29,11,8,37,42,16,11,19,23,18,11,12,16,17,10,14,7,22,19,24,14
"Sbj20_Time1",1,20,0,13,6,13,16,19,16,16,17,10,16,20,12,10,15,20,19,18,16,18,22,16,17,14,11,21,12,14,13,9,18,19,12,18,14,17,11,19,16,12,17,4,6,14,9,16,8,12,12,15,15
"Sbj20_Time2",2,20,0,20,7,11,9,31,15,17,20,16,13,18,16,19,27,21,25,20,21,21,18,26,22,28,13,13,22,17,15,13,18,24,12,21,25,19,5,19,24,25,23,22,19,23,8,16,11,20,27,21,12
"Sbj20_Time3",3,20,0,25,8,11,5,40,22,16,18,16,13,13,20,13,25,24,30,18,19,15,11,29,20,25,13,16,15,17,24,15,24,19,16,23,24,14,7,16,27,21,15,25,16,15,18,13,8,21,33,33,13
"Sbj20_Time4",4,20,0,24,13,16,8,32,22,16,18,11,16,14,27,18,29,17,24,26,22,14,13,31,17,24,14,14,22,15,21,11,20,21,19,22,28,17,15,15,27,26,18,21,16,20,11,8,14,17,34,26,6
"Sbj21_Time1",1,21,0,16,18,19,16,15,26,21,14,14,20,13,17,13,13,17,13,9,19,15,19,14,10,13,15,19,10,7,11,15,17,11,19,21,12,9,23,18,15,14,14,27,14,18,11,13,21,22,12,10,16
"Sbj21_Time2",2,21,0,22,11,15,8,17,18,14,17,17,10,26,15,19,23,12,16,21,24,15,13,17,12,29,14,14,27,12,22,7,16,18,16,30,35,17,10,18,27,16,9,14,23,12,11,15,11,21,25,20,9
"Sbj21_Time3",3,21,0,20,9,13,12,22,11,10,15,9,9,24,12,19,24,6,12,14,25,13,15,20,18,33,15,9,26,11,21,15,13,14,13,29,29,10,15,16,31,20,12,21,24,21,12,15,13,19,29,20,12
"Sbj21_Time4",4,21,0,18,10,10,4,25,17,7,18,21,6,26,12,15,22,18,18,16,29,12,16,15,18,23,18,17,21,11,17,14,14,19,17,27,31,11,11,14,34,25,8,14,19,17,15,19,11,17,29,26,12
"Sbj22_Time1",1,22,0,15,13,17,21,15,20,10,18,10,15,19,18,17,11,19,22,19,12,18,9,23,19,12,10,15,14,9,22,18,19,25,13,16,19,10,18,12,11,11,13,16,21,12,14,20,17,21,21,12,14
"Sbj22_Time2",2,22,0,19,16,10,10,17,17,25,19,17,17,23,11,12,28,22,20,22,13,24,27,20,11,30,16,27,15,15,22,22,15,13,19,34,34,12,18,13,15,20,13,13,22,13,18,8,9,20,20,12,12
"Sbj22_Time3",3,22,0,24,11,10,12,21,15,23,13,16,17,17,15,16,21,24,23,22,10,24,22,20,14,30,18,22,14,10,23,23,23,17,18,33,25,14,19,17,22,23,18,13,19,14,23,9,8,15,21,19,10
"Sbj22_Time4",4,22,0,22,8,11,8,19,17,25,25,20,23,22,15,11,35,20,16,19,8,23,20,22,12,32,18,27,18,8,16,16,25,20,22,30,34,12,19,9,21,22,15,14,14,18,18,14,7,26,26,23,6
"Sbj23_Time1",1,23,0,21,12,18,16,7,13,20,15,15,11,13,17,24,12,22,13,15,13,11,10,22,8,24,21,16,15,9,15,19,23,21,27,15,9,18,17,18,16,15,20,14,11,11,16,10,10,17,14,21,12
"Sbj23_Time2",2,23,0,32,10,5,6,22,21,28,14,14,9,22,21,20,16,19,19,20,23,30,21,17,22,19,11,15,24,15,17,18,19,14,20,26,40,18,11,20,14,15,26,18,18,16,18,13,25,14,24,39,15
"Sbj23_Time3",3,23,0,30,14,16,11,16,23,27,15,23,15,15,19,20,14,25,22,18,19,22,23,17,22,14,19,12,30,14,22,15,27,9,15,24,34,24,16,18,12,18,25,17,8,11,14,12,18,17,28,37,19
"Sbj23_Time4",4,23,0,33,9,16,14,22,17,25,15,20,11,18,27,26,26,20,15,21,27,30,21,16,21,18,13,10,33,2,26,18,21,14,13,21,45,19,14,17,21,18,26,14,13,10,15,9,17,17,23,36,16
"Sbj24_Time1",1,24,0,13,13,10,11,14,20,23,26,17,19,13,16,22,22,16,18,18,19,10,11,19,15,16,13,11,13,25,15,21,18,11,24,25,21,22,11,13,9,18,22,19,17,13,15,8,10,14,14,10,13
"Sbj24_Time2",2,24,0,31,12,14,15,23,19,20,19,15,18,11,24,16,13,21,29,16,32,16,33,32,14,30,9,22,26,1,19,17,20,10,4,24,23,27,8,19,30,8,16,16,11,11,11,15,12,30,25,28,17
"Sbj24_Time3",3,24,0,33,8,19,14,25,26,17,25,13,10,9,34,11,13,19,23,22,34,18,28,32,8,34,9,17,27,15,11,14,22,15,10,22,22,17,7,21,26,20,13,10,12,14,15,16,14,25,28,31,16
"Sbj24_Time4",4,24,0,31,10,15,8,19,19,12,17,12,10,9,24,9,12,26,22,19,28,19,30,35,9,31,13,17,27,8,19,19,29,16,12,19,24,19,14,19,24,15,13,13,14,12,12,11,10,21,30,33,16
"Sbj25_Time1",1,25,0,9,12,13,10,20,17,19,17,17,10,23,16,16,13,17,18,13,15,17,18,10,14,18,12,8,15,17,15,16,9,10,11,6,14,16,18,18,16,23,13,20,12,13,17,12,7,12,11,12,24
"Sbj25_Time2",2,25,0,25,13,9,5,18,26,28,23,16,16,10,16,20,31,17,17,23,23,23,19,27,12,26,19,25,26,9,32,12,36,9,11,23,30,13,11,12,23,25,12,9,13,11,18,17,16,24,19,40,18
"Sbj25_Time3",3,25,0,26,12,12,5,11,28,25,17,15,14,9,23,19,18,20,20,18,26,13,19,19,14,31,19,31,26,15,29,14,28,6,15,20,33,13,12,14,25,26,16,17,14,16,11,12,8,21,24,31,15
"Sbj25_Time4",4,25,0,33,8,14,15,22,23,27,19,16,16,11,20,20,23,13,18,22,20,25,17,24,10,27,18,29,24,11,32,15,27,7,12,21,26,9,4,12,21,31,17,9,13,14,12,15,14,24,25,36,19
"Sbj26_Time1",1,26,1,21,17,21,17,12,13,21,17,18,18,13,13,17,7,14,12,10,16,11,20,16,9,22,19,19,14,15,17,11,18,19,11,11,22,13,15,13,20,18,9,21,13,19,18,13,15,15,13,11,22
"Sbj26_Time2",2,26,1,41,14,11,9,22,34,18,18,28,15,7,40,38,54,35,43,51,27,14,34,37,28,70,15,20,38,12,39,12,51,9,7,59,58,37,8,19,35,33,13,13,14,42,48,11,14,126,93,7,87
"Sbj26_Time3",3,26,1,43,17,12,9,21,26,15,17,24,9,6,39,35,46,31,47,51,28,14,36,36,29,66,15,25,43,13,38,14,51,9,14,49,59,32,12,12,36,34,13,8,12,42,39,10,11,117,94,12,84
"Sbj26_Time4",4,26,1,35,11,7,13,19,30,18,16,30,12,8,42,34,48,34,47,53,19,7,30,41,31,65,12,20,43,11,40,14,51,8,11,59,65,29,6,15,37,38,17,10,14,41,53,5,12,119,95,5,90
"Sbj27_Time1",1,27,1,13,7,12,11,9,17,11,7,18,8,11,23,20,16,15,9,19,12,16,18,12,19,27,16,13,16,10,19,5,14,12,13,9,10,15,9,19,21,19,25,20,14,15,19,20,15,13,11,14,16
"Sbj27_Time2",2,27,1,30,14,12,9,16,28,21,17,32,10,18,36,19,43,31,33,35,23,9,21,31,32,38,16,15,41,3,39,16,47,8,10,48,52,27,9,5,26,26,13,13,11,32,20,13,7,60,44,13,38
"Sbj27_Time3",3,27,1,26,11,16,9,21,25,15,9,30,9,12,39,28,39,25,35,34,28,13,19,29,36,43,11,17,34,5,33,17,44,6,11,43,57,31,13,8,23,25,8,11,15,26,19,16,10,59,51,6,37
"Sbj27_Time4",4,27,1,28,9,9,9,12,26,19,20,30,7,18,33,25,41,31,32,35,23,10,14,35,28,39,8,22,34,14,36,15,44,9,5,50,54,27,11,14,26,19,6,10,9,31,22,14,5,63,49,8,45
"Sbj28_Time1",1,28,1,20,12,18,21,16,16,9,14,11,13,11,14,16,17,10,11,11,10,20,12,16,15,12,18,20,17,9,25,12,16,11,15,11,9,21,10,12,18,15,22,4,15,16,21,11,20,12,20,15,7
"Sbj28_Time2",2,28,1,34,16,8,8,28,25,17,30,16,12,16,40,26,48,34,38,28,29,23,10,41,28,44,14,21,29,14,31,16,42,11,22,39,55,30,16,21,25,24,5,12,13,29,20,16,8,59,60,11,46
"Sbj28_Time3",3,28,1,33,13,15,10,27,28,9,28,17,14,21,44,27,43,37,41,30,32,22,14,33,30,44,4,23,40,8,37,19,41,13,12,47,61,28,18,18,27,21,6,17,12,27,19,14,14,58,62,12,43
"Sbj28_Time4",4,28,1,31,6,14,12,28,24,16,27,20,13,9,39,27,43,36,34,31,36,20,13,38,30,42,9,23,36,8,33,19,37,12,13,41,56,34,13,21,28,20,8,17,11,34,22,12,14,62,56,13,43
"Sbj29_Time1",1,29,1,14,12,9,14,17,10,16,9,19,16,10,11,10,13,21,9,17,20,18,18,14,16,14,19,17,19,17,12,20,12,15,14,8,17,7,14,18,11,19,17,8,21,16,11,11,21,15,10,13,17
"Sbj29_Time2",2,29,1,36,16,10,10,24,34,26,18,24,15,14,39,21,31,39,39,39,26,11,23,39,20,57,15,15,28,7,37,12,46,15,3,40,52,26,15,8,23,16,0,17,20,42,35,12,15,91,75,13,62
"Sbj29_Time3",3,29,1,30,10,14,8,19,36,27,18,29,16,11,39,18,27,31,38,35,27,19,23,43,19,51,17,16,28,12,33,17,36,9,14,40,50,30,14,5,33,23,11,9,11,45,38,13,12,87,74,9,74
"Sbj29_Time4",4,29,1,34,12,6,12,20,34,30,21,28,15,10,39,21,32,31,38,34,25,11,29,39,19,49,10,16,34,10,33,13,39,14,16,40,48,26,14,11,29,19,11,13,8,42,38,11,14,89,76,11,67
"Sbj3_Time1",1,3,0,20,12,18,21,16,16,9,14,11,13,11,14,16,17,10,11,11,10,20,12,16,15,12,18,20,17,9,25,12,16,11,15,11,9,21,10,12,18,15,22,4,15,16,21,11,20,12,20,15,7
"Sbj3_Time2",2,3,0,32,16,9,8,31,20,19,28,10,11,18,29,20,38,27,25,16,23,27,7,35,19,22,14,21,23,14,24,15,27,13,29,26,41,20,15,27,22,24,17,12,18,15,11,17,8,14,26,29,13
"Sbj3_Time3",3,3,0,31,13,15,10,30,22,11,26,11,13,23,33,21,33,30,28,18,26,25,11,27,22,22,4,23,34,8,29,18,26,15,19,33,47,18,16,24,24,21,17,17,17,12,11,14,14,12,28,30,10
"Sbj3_Time4",4,3,0,30,6,15,12,31,18,19,25,14,11,12,28,20,33,29,21,19,31,24,10,31,21,20,9,23,30,8,25,19,22,14,20,27,42,23,11,27,25,20,19,17,16,19,14,13,14,16,22,31,11
"Sbj30_Time1",1,30,1,20,17,15,13,15,9,15,14,16,14,11,15,17,10,17,19,17,13,12,15,15,16,25,9,21,23,14,23,15,17,9,17,13,8,15,11,8,17,17,20,10,21,17,19,22,21,14,19,14,22
"Sbj30_Time2",2,30,1,35,12,5,8,28,27,17,21,19,19,14,43,32,35,28,32,38,32,22,14,44,33,59,15,18,32,10,36,17,42,13,8,47,49,31,25,18,29,10,11,8,11,32,14,13,15,67,67,13,51
"Sbj30_Time3",3,30,1,38,5,13,16,27,24,14,28,18,20,14,42,28,38,31,40,36,23,15,19,39,27,50,10,20,34,16,43,12,42,12,12,45,51,33,23,14,32,23,13,17,9,26,15,10,13,73,74,9,44
"Sbj30_Time4",4,30,1,31,14,11,12,25,22,19,15,17,14,7,45,24,33,31,32,34,30,17,21,38,32,55,10,20,29,12,30,17,43,14,8,41,49,29,23,15,34,15,19,20,11,31,17,12,8,65,66,7,43
"Sbj31_Time1",1,31,1,10,4,16,15,15,20,14,19,14,12,10,14,4,21,12,16,25,12,15,11,19,12,15,20,14,15,11,24,14,14,14,11,11,14,22,19,16,17,22,11,5,13,16,12,12,13,15,18,21,13
"Sbj31_Time2",2,31,1,37,15,14,11,17,28,12,22,24,13,14,37,30,47,31,46,42,31,7,29,47,29,61,18,26,38,11,30,20,45,13,9,45,61,34,17,8,27,28,10,9,8,45,32,5,13,95,76,11,69
"Sbj31_Time3",3,31,1,34,8,11,10,27,24,13,17,28,18,10,37,28,42,29,40,46,31,10,33,47,30,61,6,20,44,12,35,19,47,14,10,51,66,33,12,12,24,21,9,10,15,42,34,10,15,100,77,10,71
"Sbj31_Time4",4,31,1,37,10,9,11,25,26,5,15,28,14,5,41,28,41,30,43,45,34,10,31,49,33,63,11,23,46,11,32,17,47,9,8,50,64,41,8,10,25,27,9,5,13,46,37,11,14,100,76,11,74
"Sbj32_Time1",1,32,1,7,20,9,12,12,9,9,23,15,12,11,14,17,11,14,24,12,13,17,14,8,19,20,15,21,15,19,25,14,9,20,11,20,20,20,17,18,20,18,19,17,14,22,18,14,25,19,20,15,16
"Sbj32_Time2",2,32,1,34,8,14,10,12,38,21,24,26,25,14,41,25,42,41,45,39,36,13,36,43,20,68,6,21,33,11,39,15,57,9,12,57,57,36,18,13,25,31,9,14,11,52,39,13,8,111,92,14,81
"Sbj32_Time3",3,32,1,32,5,11,8,14,41,18,22,21,28,15,46,22,43,38,48,42,32,14,42,46,21,66,6,25,35,11,36,23,57,16,12,62,57,28,15,8,31,26,11,10,6,54,45,9,13,116,94,12,84
"Sbj32_Time4",4,32,1,40,6,13,6,17,39,16,23,20,20,14,38,20,42,40,44,39,36,10,40,41,23,67,9,24,39,6,39,12,56,11,12,64,47,31,18,11,28,24,11,10,12,49,35,9,10,120,99,12,84
"Sbj33_Time1",1,33,1,14,14,14,7,17,8,18,11,5,18,16,16,16,18,12,21,8,17,14,11,12,16,19,17,17,18,12,17,12,15,8,13,24,11,17,17,14,12,21,13,15,14,13,11,12,13,12,15,21,10
"Sbj33_Time2",2,33,1,26,13,9,11,24,30,20,22,12,21,14,29,24,32,28,21,22,22,17,10,31,13,43,12,20,34,11,26,8,33,10,18,40,37,17,18,12,27,18,12,24,11,22,18,12,7,33,41,10,37
"Sbj33_Time3",3,33,1,27,9,13,9,28,25,26,25,14,25,20,31,21,35,25,21,30,23,18,6,36,20,43,14,18,33,5,24,8,25,8,15,41,39,24,29,5,28,15,12,16,11,18,20,9,9,28,39,10,33
"Sbj33_Time4",4,33,1,23,11,13,13,31,27,18,26,17,22,13,28,23,35,26,16,26,25,18,10,33,19,43,9,20,29,9,22,15,31,10,15,34,32,13,19,10,31,18,16,15,15,19,19,10,4,31,41,7,33
"Sbj34_Time1",1,34,1,24,19,14,18,15,11,10,19,21,18,18,17,9,15,25,14,17,18,15,15,16,19,17,11,11,10,17,16,21,14,13,22,18,11,14,17,13,12,18,17,16,19,13,10,12,15,15,12,21,16
"Sbj34_Time2",2,34,1,34,12,10,13,13,24,12,21,34,11,15,44,23,41,33,36,36,25,12,28,35,36,56,15,15,39,12,36,17,49,11,10,53,47,32,17,14,31,25,11,9,10,42,28,15,15,92,66,12,65
"Sbj34_Time3",3,34,1,30,14,8,7,15,30,14,20,31,14,14,46,23,40,35,35,35,27,8,23,33,33,56,12,25,41,11,36,14,51,9,15,61,56,26,23,14,31,24,15,11,10,43,28,11,15,92,69,13,62
"Sbj34_Time4",4,34,1,35,10,17,6,9,30,10,16,28,9,13,47,17,43,36,41,39,23,12,31,39,33,53,11,15,41,12,41,13,53,8,12,51,52,33,19,11,38,27,5,7,11,42,23,14,14,98,72,8,63
"Sbj35_Time1",1,35,1,10,14,16,10,18,21,15,14,16,12,18,19,20,13,18,19,27,10,19,15,7,15,14,15,19,22,14,21,11,15,15,22,15,11,25,20,14,21,12,13,9,16,16,14,25,22,21,11,18,19
"Sbj35_Time2",2,35,1,31,11,9,5,24,31,11,19,26,15,15,36,33,45,31,36,40,22,12,22,33,31,57,11,24,41,9,37,14,44,9,14,46,52,33,17,7,25,31,7,9,8,47,36,2,8,94,75,10,66
"Sbj35_Time3",3,35,1,35,12,10,11,17,27,12,23,29,18,10,35,30,37,28,38,46,28,14,18,32,35,52,13,14,35,9,39,16,46,10,12,47,57,41,12,6,23,33,10,11,12,42,30,9,9,89,75,10,67
"Sbj35_Time4",4,35,1,24,10,10,13,22,29,16,21,32,17,14,37,22,43,36,38,45,23,13,21,36,27,53,9,16,36,7,42,17,43,9,9,46,59,35,10,15,26,29,12,11,16,51,32,13,11,86,75,11,69
