"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj12_Time4",4,12,0,28,24,27,14,17,16,15,19,9,13,19,4,24,16,23,12,23,20,15,12,37,19,16,27,19,18,15,9,25,17,14,17,16,12,26,10,26,8,22,11,16,28,19,20,11,22,17,16,29,19
"Sbj13_Time1",1,13,0,20,14,24,11,20,25,11,23,23,12,16,17,16,13,19,19,14,12,16,18,22,16,9,13,17,11,14,21,22,17,11,13,17,14,14,16,19,17,16,20,9,20,11,11,15,20,15,9,14,18
"Sbj13_Time2",2,13,0,18,19,19,19,21,10,10,26,11,20,13,14,13,11,21,7,30,7,26,13,18,17,12,22,20,23,10,15,14,21,19,10,19,12,16,16,23,17,17,17,7,21,19,8,10,27,12,11,26,7
"Sbj13_Time3",3,13,0,16,13,27,17,28,4,8,23,9,13,9,5,7,7,24,4,23,5,28,8,16,12,11,16,15,24,7,12,14,16,18,11,17,13,13,14,22,6,21,9,19,18,22,15,8,16,18,13,22,6
"Sbj13_Time4",4,13,0,19,20,28,21,26,7,14,23,13,12,14,7,17,18,30,8,23,9,26,19,16,21,12,15,21,22,7,8,16,16,24,8,21,15,12,20,18,14,21,6,20,20,22,8,10,22,20,11,30,12
"Sbj14_Time1",1,14,0,17,15,14,16,12,14,14,13,19,13,18,15,12,19,16,19,11,23,19,15,24,23,12,17,14,18,16,12,17,19,17,14,13,15,19,10,18,25,15,11,6,20,17,9,16,15,21,22,13,20
"Sbj14_Time2",2,14,0,20,20,22,8,23,22,8,26,12,20,13,16,14,21,28,9,13,18,24,11,28,10,15,27,16,20,11,5,25,17,16,14,19,16,19,12,20,10,20,15,15,23,12,14,23,21,18,6,22,23
"Sbj14_Time3",3,14,0,23,19,26,9,19,12,12,21,17,18,15,13,5,13,24,12,14,17,21,10,28,7,13,28,12,21,12,13,26,13,22,17,11,15,14,17,16,13,22,8,15,22,16,16,8,25,14,7,18,21
"Sbj14_Time4",4,14,0,25,24,28,11,21,11,7,22,15,23,10,13,5,18,20,13,14,18,23,8,30,5,15,30,14,26,10,8,22,17,20,9,18,17,21,13,18,15,18,12,8,24,17,13,18,31,15,9,19,20
"Sbj15_Time1",1,15,0,11,8,14,15,12,29,20,4,16,17,14,12,22,13,17,17,19,15,9,20,17,7,18,19,12,17,15,14,21,15,17,10,25,19,14,6,17,18,16,15,19,23,19,15,19,15,21,15,22,19
"Sbj15_Time2",2,15,0,19,17,18,14,13,9,17,23,9,20,8,11,17,11,16,18,26,6,19,18,24,11,8,13,29,13,12,19,29,12,10,20,12,17,15,20,25,11,18,11,19,19,26,17,18,14,11,13,27,25
"Sbj15_Time3",3,15,0,16,17,26,12,19,12,20,35,12,16,15,12,16,8,22,15,26,9,21,11,28,8,7,21,25,15,21,11,22,21,15,23,20,16,8,18,21,11,14,7,20,16,23,25,15,6,15,14,18,22
"Sbj15_Time4",4,15,0,19,14,25,9,11,12,17,28,17,16,10,10,15,13,20,28,22,10,16,7,21,11,13,19,24,15,15,5,29,13,11,19,15,11,15,20,14,10,12,15,13,26,21,12,17,18,18,7,18,24
"Sbj16_Time1",1,16,0,17,23,17,8,16,19,15,18,17,12,17,18,19,16,15,18,23,13,12,17,12,16,13,23,12,8,18,12,20,20,15,19,24,19,18,16,22,9,21,26,12,22,17,15,18,12,16,15,14,15
"Sbj16_Time2",2,16,0,19,9,23,7,17,12,7,28,17,14,12,10,13,18,24,15,21,19,13,9,29,12,12,19,18,7,11,9,33,15,18,25,18,12,15,8,16,21,25,12,6,15,17,20,21,22,11,8,19,19
"Sbj16_Time3",3,16,0,19,14,19,9,16,12,4,21,20,18,11,15,12,11,27,14,15,15,16,12,30,9,15,21,18,14,10,7,27,17,19,19,15,11,12,17,17,24,24,11,14,19,24,16,12,22,16,13,20,21
"Sbj16_Time4",4,16,0,22,14,14,8,17,7,6,25,16,14,12,6,8,16,24,7,22,17,17,13,30,10,11,20,19,15,11,8,22,20,18,25,15,10,13,10,23,24,20,12,13,19,23,17,22,16,13,16,20,19
"Sbj17_Time1",1,17,0,17,10,15,24,15,18,11,14,18,13,10,17,23,14,21,11,17,19,15,15,11,14,13,18,12,11,13,18,10,20,19,23,18,18,14,12,18,16,17,16,18,17,14,18,25,8,18,18,14,7
"Sbj17_Time2",2,17,0,21,8,20,14,21,10,16,22,17,16,8,16,6,16,22,19,17,8,15,11,24,20,11,15,21,18,9,10,28,24,21,20,13,15,9,23,20,19,23,8,11,21,18,9,13,15,14,13,24,22
"Sbj17_Time3",3,17,0,26,6,21,12,20,6,20,20,16,15,8,13,12,18,23,12,21,14,20,12,27,24,11,10,23,19,13,7,20,25,23,21,19,19,13,18,20,18,21,5,14,23,18,15,14,19,11,9,19,24
"Sbj17_Time4",4,17,0,29,9,25,9,18,15,14,25,14,14,9,11,12,7,29,12,17,14,13,11,21,12,12,12,24,22,19,11,34,17,15,26,11,13,12,21,20,18,24,12,18,24,10,11,9,18,12,14,21,28
"Sbj18_Time1",1,18,0,24,18,12,6,19,20,9,21,20,15,17,14,16,18,13,18,22,18,13,7,19,12,19,12,20,11,14,12,18,12,14,13,18,6,24,8,24,17,21,14,14,11,22,12,14,22,13,10,9,14
"Sbj18_Time2",2,18,0,22,19,25,6,23,11,20,27,12,18,12,7,8,13,25,18,23,15,15,11,31,22,13,10,18,13,11,2,28,23,15,21,11,30,14,23,11,16,21,5,15,32,24,17,21,15,20,12,21,28
"Sbj18_Time3",3,18,0,22,16,28,12,18,12,16,25,19,13,13,12,5,15,21,23,24,20,12,13,38,22,18,9,16,20,13,12,34,22,14,15,12,23,15,27,6,15,21,5,19,30,21,11,21,15,10,17,21,21
"Sbj18_Time4",4,18,0,20,14,27,15,19,9,15,23,17,11,16,10,15,5,23,18,24,16,8,6,37,23,17,14,18,18,8,11,24,20,17,15,13,25,16,21,9,10,19,12,20,31,23,15,18,24,7,15,24,29
"Sbj19_Time1",1,19,0,25,10,21,14,10,11,9,13,13,11,20,4,19,18,21,11,5,18,17,23,14,24,10,20,15,13,9,11,15,19,15,14,9,15,14,23,11,10,21,16,12,12,12,15,15,15,25,13,20,14
"Sbj19_Time2",2,19,0,18,23,27,12,20,5,7,22,18,23,15,21,20,18,19,15,24,17,21,13,23,21,11,19,27,17,10,11,26,17,20,21,11,23,17,21,23,14,22,11,10,22,28,19,14,13,18,11,21,26
"Sbj19_Time3",3,19,0,25,22,28,12,17,12,7,19,17,18,10,14,16,15,22,10,20,14,26,8,26,12,10,18,26,19,6,14,25,12,22,26,5,20,6,22,18,10,18,11,18,25,24,22,13,16,15,11,17,30
"Sbj19_Time4",4,19,0,26,22,27,12,27,7,6,26,23,19,8,19,17,15,22,11,22,19,21,11,27,10,11,14,21,19,13,9,22,15,20,22,10,22,11,21,22,15,18,14,22,19,26,16,18,14,16,13,18,22
"Sbj2_Time1",1,2,0,13,7,12,11,9,17,11,7,18,8,11,23,20,16,15,9,19,12,16,18,12,19,27,16,13,16,10,19,5,14,12,13,9,10,15,9,19,21,19,25,20,14,15,19,20,15,13,11,14,16
"Sbj2_Time2",2,2,0,29,22,31,9,15,14,17,17,14,13,15,19,12,11,26,14,19,13,12,14,28,20,7,27,18,28,4,17,21,23,14,13,22,20,12,12,10,15,23,13,22,20,30,10,13,20,18,4,20,8
"Sbj2_Time3",3,2,0,25,19,35,9,20,11,11,9,11,12,9,22,21,7,20,16,18,18,17,12,27,24,12,21,20,21,6,10,22,20,11,14,16,24,15,16,13,12,22,8,20,24,25,9,16,23,17,12,13,7
"Sbj2_Time4",4,2,0,27,17,27,9,12,13,16,20,11,11,15,17,17,9,25,13,19,13,14,7,33,15,8,19,25,22,15,13,20,20,15,8,24,22,12,14,19,15,16,6,19,18,29,12,14,18,21,10,15,14
"Sbj20_Time1",1,20,0,13,6,13,16,19,16,16,17,10,16,20,12,10,15,20,19,18,16,18,22,16,17,14,11,21,12,14,13,9,18,19,12,18,14,17,11,19,16,12,17,4,6,14,9,16,8,12,12,15,15
"Sbj20_Time2",2,20,0,15,20,22,11,23,9,13,25,11,23,19,15,24,13,17,14,20,15,20,17,27,20,11,19,13,20,18,6,20,18,20,8,10,8,16,5,25,16,23,12,18,19,29,8,16,16,9,12,17,12
"Sbj20_Time3",3,20,0,19,21,22,8,31,16,12,23,11,22,15,19,18,10,20,20,17,13,14,9,30,18,7,19,17,14,18,15,21,25,16,12,12,7,12,7,21,20,19,4,20,17,20,18,13,13,10,17,29,13
"Sbj20_Time4",4,20,0,19,26,27,10,23,16,12,23,7,25,16,27,23,15,13,13,25,16,12,12,32,15,6,20,14,20,15,12,18,20,18,15,11,11,14,15,21,20,24,7,17,16,26,11,8,19,7,18,23,6
"Sbj21_Time1",1,21,0,16,18,19,16,15,26,21,14,14,20,13,17,13,13,17,13,9,19,15,19,14,10,13,15,19,10,7,11,15,17,11,19,21,12,9,23,18,15,14,14,27,14,18,11,13,21,22,12,10,16
"Sbj21_Time2",2,21,0,22,12,23,13,12,12,15,17,16,12,20,12,16,11,17,14,22,15,21,10,17,15,16,18,15,23,11,12,11,13,21,15,20,23,17,22,19,16,12,7,9,24,16,12,15,17,16,10,16,13
"Sbj21_Time3",3,21,0,20,10,21,18,17,5,12,15,7,10,17,10,16,12,11,11,14,16,18,12,20,21,20,19,10,22,10,11,20,11,17,12,19,16,10,27,18,20,15,10,16,25,25,13,15,18,13,14,16,17
"Sbj21_Time4",4,21,0,19,11,19,10,20,11,9,17,19,7,20,9,12,10,23,17,17,20,17,13,15,21,10,22,18,17,9,6,18,12,22,16,17,18,11,23,16,22,21,6,9,20,21,15,19,16,12,14,22,16
"Sbj22_Time1",1,22,0,15,13,17,21,15,20,10,18,10,15,19,18,17,11,19,22,19,12,18,9,23,19,12,10,15,14,9,22,18,19,25,13,16,19,10,18,12,11,11,13,16,21,12,14,20,17,21,21,12,14
"Sbj22_Time2",2,22,0,21,19,20,10,17,10,13,20,12,16,14,7,7,16,23,13,19,10,28,22,24,11,16,21,29,14,15,13,29,8,11,22,23,23,14,20,21,10,16,4,18,30,20,13,14,19,23,7,11,18
"Sbj22_Time3",3,22,0,26,14,20,12,20,8,11,15,11,16,8,11,11,10,25,16,18,7,28,18,23,14,16,23,24,13,10,14,29,16,15,20,21,14,15,22,25,16,19,10,18,27,21,18,15,18,18,7,18,17
"Sbj22_Time4",4,22,0,23,12,21,8,18,10,13,27,15,22,13,11,6,24,20,9,16,5,27,16,25,12,17,23,28,17,8,7,23,18,18,24,19,23,13,22,17,15,18,7,19,22,26,13,21,17,30,12,22,13
"Sbj23_Time1",1,23,0,21,12,18,16,7,13,20,15,15,11,13,17,24,12,22,13,15,13,11,10,22,8,24,21,16,15,9,15,19,23,21,27,15,9,18,17,18,16,15,20,14,11,11,16,10,10,17,14,21,12
"Sbj23_Time2",2,23,0,32,18,18,6,22,14,16,11,6,15,24,11,9,7,24,11,14,20,28,13,23,15,11,17,19,13,15,6,30,15,17,28,22,19,19,21,18,7,11,12,23,18,21,15,12,33,15,10,25,20
"Sbj23_Time3",3,23,0,30,22,29,11,15,15,15,12,16,21,17,9,9,5,30,13,13,16,20,14,23,15,7,25,16,19,14,11,27,23,12,23,20,13,25,26,16,5,14,10,22,8,15,12,11,27,18,13,24,24
"Sbj23_Time4",4,23,0,33,17,29,14,21,10,13,13,13,17,21,17,15,17,25,7,15,25,28,12,22,15,11,19,14,22,2,14,29,17,17,21,17,24,19,24,14,13,14,12,19,14,14,13,8,26,17,8,23,21
"Sbj24_Time1",1,24,0,13,13,10,11,14,20,23,26,17,19,13,16,22,22,16,18,18,19,10,11,19,15,16,13,11,13,25,15,21,18,11,24,25,21,22,11,13,9,18,22,19,17,13,15,8,10,14,14,10,13
"Sbj24_Time2",2,24,0,24,25,26,15,26,12,13,16,13,22,8,13,19,12,20,14,18,22,16,16,30,14,11,23,22,19,4,9,21,11,7,5,17,9,24,10,23,20,16,14,19,15,22,13,11,18,22,8,14,14
"Sbj24_Time3",3,24,0,26,21,31,14,28,18,10,23,11,15,6,23,14,12,17,8,23,24,18,11,30,8,15,23,18,20,18,1,19,12,13,10,15,8,15,9,25,17,28,11,12,16,26,18,11,20,18,11,17,13
"Sbj24_Time4",4,24,0,24,23,28,8,22,12,4,14,10,14,7,14,12,11,25,7,21,18,19,13,33,9,13,27,18,20,11,9,24,19,14,12,12,10,17,16,22,15,23,10,16,18,23,14,6,16,14,13,19,13
"Sbj25_Time1",1,25,0,9,12,13,10,20,17,19,17,17,10,23,16,16,13,17,18,13,15,17,18,10,14,18,12,8,15,17,15,16,9,10,11,6,14,16,18,18,16,23,13,20,12,13,17,12,7,12,11,12,24
"Sbj25_Time2",2,25,0,20,19,15,7,17,16,20,25,15,21,10,8,16,19,14,11,21,15,25,13,25,9,8,23,22,22,12,12,18,27,8,17,11,14,11,16,12,12,20,7,13,20,19,15,20,17,24,4,27,23
"Sbj25_Time3",3,25,0,21,17,18,7,10,17,17,19,14,18,9,15,15,6,17,14,17,18,16,14,16,10,13,23,28,22,18,9,20,19,5,21,7,18,11,17,14,14,22,11,21,22,24,8,15,9,21,8,18,21
"Sbj25_Time4",4,25,0,28,13,19,17,20,12,19,21,15,20,11,13,15,10,10,12,20,12,28,11,21,6,9,22,26,20,14,12,21,18,7,17,9,11,7,9,12,10,27,12,13,21,22,9,19,16,23,10,23,25
"Sbj26_Time1",1,26,1,21,17,21,17,12,13,21,17,18,18,13,13,17,7,14,12,10,16,11,20,16,9,22,19,19,14,15,17,11,18,19,11,11,22,13,15,13,20,18,9,21,13,19,18,13,15,15,13,11,22
"Sbj26_Time2",2,26,1,33,29,20,9,26,15,21,18,9,28,16,11,16,22,32,9,25,12,26,14,31,12,14,17,17,13,12,12,39,15,14,17,15,10,16,17,26,13,20,13,13,24,13,44,11,27,21,8,39,34
"Sbj26_Time3",3,26,1,35,32,20,9,25,7,18,17,6,21,15,10,13,14,28,13,25,13,27,15,29,13,10,17,21,18,13,11,41,15,14,24,5,11,11,20,18,14,21,13,8,22,12,36,10,24,11,9,43,32
"Sbj26_Time4",4,26,1,27,25,15,13,23,10,20,16,12,24,16,13,11,16,31,13,27,4,20,9,34,14,9,13,17,18,11,14,42,15,14,20,16,17,9,15,21,14,26,17,10,24,12,49,5,25,13,10,36,37
"Sbj27_Time1",1,27,1,13,7,12,11,9,17,11,7,18,8,11,23,20,16,15,9,19,12,16,18,12,19,27,16,13,16,10,19,5,14,12,13,9,10,15,9,19,21,19,25,20,14,15,19,20,15,13,11,14,16
"Sbj27_Time2",2,27,1,28,26,26,9,17,8,26,18,13,16,18,18,7,15,28,14,20,11,12,14,28,23,7,18,14,23,3,17,29,23,13,16,17,20,10,19,5,14,21,13,13,19,20,27,13,12,10,4,38,22
"Sbj27_Time3",3,27,1,24,24,30,9,22,5,20,10,11,15,11,21,16,11,22,16,19,16,16,12,27,27,12,13,15,16,5,11,30,20,10,17,12,24,13,23,8,11,19,8,11,23,15,27,16,15,9,12,31,21
"Sbj27_Time4",4,27,1,26,21,22,9,13,7,25,21,11,13,18,15,12,13,28,12,20,11,13,7,33,19,8,10,20,16,14,14,28,20,14,11,19,22,10,22,14,14,14,6,10,17,19,30,14,9,12,10,33,28
"Sbj28_Time1",1,28,1,20,12,18,21,16,16,9,14,11,13,11,14,16,17,10,11,11,10,20,12,16,15,12,18,20,17,9,25,12,16,11,15,11,9,21,10,12,18,15,22,4,15,16,21,11,20,12,20,15,7
"Sbj28_Time2",2,28,1,32,30,19,8,28,12,17,31,10,28,22,14,9,25,34,14,17,15,29,7,42,14,11,15,19,14,14,12,45,26,11,35,7,19,14,25,25,13,23,5,6,24,19,45,16,22,9,10,47,38
"Sbj28_Time3",3,28,1,31,27,25,10,26,14,9,28,11,30,27,18,10,20,37,17,19,18,28,11,34,17,11,5,21,25,8,18,49,24,13,25,15,25,12,26,21,14,20,6,11,23,16,45,14,27,7,12,48,35
"Sbj28_Time4",4,28,1,30,20,25,12,27,11,17,27,14,28,16,13,10,20,37,10,20,22,26,10,38,16,9,10,21,20,8,14,49,21,12,26,9,21,17,21,24,15,19,8,11,21,23,48,12,27,12,6,49,36
"Sbj29_Time1",1,29,1,14,12,9,14,17,10,16,9,19,16,10,11,10,13,21,9,17,20,18,18,14,16,14,19,17,19,17,12,20,12,15,14,8,17,7,14,18,11,19,17,8,21,16,11,11,21,15,10,13,17
"Sbj29_Time2",2,29,1,33,28,21,10,24,12,26,20,10,16,15,14,10,11,36,12,24,12,19,8,31,22,15,17,9,10,7,16,28,15,23,14,9,21,10,30,8,9,13,0,17,28,21,36,12,24,13,15,42,26
"Sbj29_Time3",3,29,1,28,22,25,8,18,15,27,19,15,16,13,14,7,8,28,11,19,13,27,7,36,22,9,19,10,10,12,12,33,5,18,24,9,19,14,29,5,19,20,11,9,19,24,39,13,20,9,13,38,38
"Sbj29_Time4",4,29,1,31,24,17,12,19,13,30,22,13,15,12,14,9,13,28,11,19,11,20,14,31,22,7,12,10,16,10,12,29,8,23,26,9,17,10,29,11,15,16,11,13,16,22,39,11,23,11,16,40,31
"Sbj3_Time1",1,3,0,20,12,18,21,16,16,9,14,11,13,11,14,16,17,10,11,11,10,20,12,16,15,12,18,20,17,9,25,12,16,11,15,11,9,21,10,12,18,15,22,4,15,16,21,11,20,12,20,15,7
"Sbj3_Time2",2,3,0,32,25,23,8,24,12,13,27,10,21,16,20,14,18,28,14,10,17,26,7,40,9,11,24,22,17,14,9,32,26,11,32,14,18,20,15,32,13,23,5,20,21,25,13,17,27,15,10,21,18
"Sbj3_Time3",3,3,0,31,22,29,10,23,14,5,24,11,23,21,24,14,13,31,17,11,21,25,11,32,12,11,13,23,28,8,15,35,25,13,21,22,24,18,16,29,15,20,6,24,21,23,12,14,33,13,12,22,15
"Sbj3_Time4",4,3,0,30,15,29,12,24,11,13,23,14,21,9,19,14,13,30,10,13,25,23,10,36,11,9,18,24,24,8,11,36,21,12,23,16,20,23,11,31,16,19,8,24,19,29,15,12,32,17,6,23,15
"Sbj30_Time1",1,30,1,20,17,15,13,15,9,15,14,16,14,11,15,17,10,17,19,17,13,12,15,15,16,25,9,21,23,14,23,15,17,9,17,13,8,15,11,8,17,17,20,10,21,17,19,22,21,14,19,14,22
"Sbj30_Time2",2,30,1,23,23,15,8,28,13,17,18,9,21,19,17,18,12,17,14,21,16,24,7,34,17,16,18,17,11,10,11,26,18,14,11,16,13,16,24,21,16,5,11,3,19,13,17,13,15,13,15,28,24
"Sbj30_Time3",3,30,1,26,17,23,16,27,11,14,25,7,22,19,16,14,15,19,21,20,7,17,13,28,11,7,13,19,12,16,18,21,18,13,15,15,15,18,22,17,19,18,13,12,17,6,19,10,13,19,21,23,17
"Sbj30_Time4",4,30,1,19,25,20,12,25,9,19,13,6,16,12,19,10,10,19,14,18,14,20,15,27,16,12,13,19,8,12,4,26,18,16,10,11,13,14,22,18,20,11,19,15,19,12,20,12,8,11,14,21,17
"Sbj31_Time1",1,31,1,10,4,16,15,15,20,14,19,14,12,10,14,4,21,12,16,25,12,15,11,19,12,15,20,14,15,11,24,14,14,14,11,11,14,22,19,16,17,22,11,5,13,16,12,12,13,15,18,21,13
"Sbj31_Time2",2,31,1,35,27,25,11,24,14,10,21,13,24,14,10,12,21,24,16,15,15,18,10,38,11,10,29,24,19,11,5,36,14,19,24,6,20,19,20,17,11,21,10,9,19,21,27,5,21,26,10,28,30
"Sbj31_Time3",3,31,1,31,20,22,10,34,10,11,17,17,28,10,10,10,17,21,10,18,15,21,14,38,13,10,17,17,24,12,10,35,15,20,24,12,25,18,16,20,8,14,9,10,27,18,29,10,23,31,11,26,32
"Sbj31_Time4",4,31,1,35,22,19,11,32,12,3,14,18,25,5,14,10,16,23,13,17,19,20,12,41,15,12,22,20,27,11,6,32,15,15,23,11,23,25,12,18,9,20,9,5,25,22,33,11,22,31,10,27,35
"Sbj32_Time1",1,32,1,7,20,9,12,12,9,9,23,15,12,11,14,17,11,14,24,12,13,17,14,8,19,20,15,21,15,19,25,14,9,20,11,20,20,20,17,18,20,18,19,17,14,22,18,14,25,19,20,15,16
"Sbj32_Time2",2,32,1,27,19,29,10,15,9,14,25,14,29,18,12,15,15,36,8,23,19,24,10,32,9,11,11,16,13,11,9,41,22,9,26,15,15,15,21,16,7,28,9,14,18,25,36,13,22,4,9,49,27
"Sbj32_Time3",3,32,1,25,16,26,8,17,12,11,23,9,32,20,17,12,15,33,12,26,16,26,16,35,10,9,12,21,16,11,6,49,22,16,26,20,14,7,18,11,13,23,11,10,14,27,42,9,27,9,11,47,30
"Sbj32_Time4",4,32,1,33,17,29,6,20,10,9,25,8,24,18,9,10,15,35,8,23,19,22,13,30,12,10,15,19,19,6,9,38,20,11,26,22,5,10,21,15,11,21,11,10,19,22,32,9,23,13,16,47,30
"Sbj33_Time1",1,33,1,14,14,14,7,17,8,18,11,5,18,16,16,16,18,12,21,8,17,14,11,12,16,19,17,17,18,12,17,12,15,8,13,24,11,17,17,14,12,21,13,15,14,13,11,12,13,12,15,21,10
"Sbj33_Time2",2,33,1,27,19,21,11,23,14,23,23,10,24,11,12,13,22,28,12,19,10,25,10,26,12,14,14,16,18,11,12,29,18,21,26,17,14,10,26,12,16,16,12,15,21,14,38,12,16,15,15,34,38
"Sbj33_Time3",3,33,1,28,14,25,9,27,9,29,26,11,29,16,13,10,25,25,13,27,11,26,6,31,19,14,15,15,17,5,10,29,10,19,24,18,16,17,37,5,17,13,12,7,21,10,41,9,18,10,14,34,34
"Sbj33_Time4",4,33,1,24,16,25,13,30,11,21,27,14,25,10,10,12,25,26,7,22,13,26,10,28,18,15,11,16,13,9,8,36,16,21,24,11,8,6,27,10,19,16,16,6,25,11,39,10,13,13,16,30,34
"Sbj34_Time1",1,34,1,24,19,14,18,15,11,10,19,21,18,18,17,9,15,25,14,17,18,15,15,16,19,17,11,11,10,17,16,21,14,13,22,18,11,14,17,13,12,18,17,16,19,13,10,12,15,15,12,21,16
"Sbj34_Time2",2,34,1,30,19,22,13,20,6,14,20,18,15,13,14,12,17,28,10,18,12,20,9,28,20,12,23,16,14,12,9,30,13,18,20,13,11,13,21,14,18,23,11,9,16,27,29,15,21,20,7,31,31
"Sbj34_Time3",3,34,1,26,21,21,7,22,12,16,19,15,18,12,16,12,16,31,9,17,14,16,4,26,16,11,19,25,15,11,8,27,15,16,26,20,20,7,27,15,17,23,15,11,16,28,29,11,22,19,10,32,28
"Sbj34_Time4",4,34,1,31,17,30,6,16,12,12,15,12,13,11,18,6,19,31,15,21,10,20,12,32,16,9,19,16,15,12,13,26,18,15,23,10,16,14,22,12,24,26,5,7,17,27,25,14,20,25,13,27,28
"Sbj35_Time1",1,35,1,10,14,16,10,18,21,15,14,16,12,18,19,20,13,18,19,27,10,19,15,7,15,14,15,19,22,14,21,11,15,15,22,15,11,25,20,14,21,12,13,9,16,16,14,25,22,21,11,18,19
"Sbj35_Time2",2,35,1,30,23,21,5,28,15,14,21,7,27,24,11,14,17,29,9,27,9,19,9,28,18,11,19,22,19,9,13,35,17,17,22,8,14,10,30,8,7,21,7,9,21,19,45,2,20,15,12,48,33
"Sbj35_Time3",3,35,1,34,25,22,11,22,11,15,25,10,30,19,9,11,9,25,11,32,15,21,5,27,22,5,21,12,14,9,15,37,19,18,19,9,18,18,25,7,5,23,10,11,25,14,39,9,20,10,12,48,35
"Sbj35_Time4",4,35,1,24,23,23,13,27,13,20,23,13,29,24,12,3,15,33,12,31,10,20,8,31,15,7,17,15,14,7,18,39,15,17,16,8,21,11,23,16,8,19,12,11,29,24,41,13,22,7,12,49,37
